PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"36102608","Updates in the use of cannabis for insomnia","Earl DC, Proano M.","Curr Opin Pulm Med. 2022 Nov 1;28(6):511-514. doi: 10.1097/MCP.0000000000000914. Epub 2022 Sep 14.","Earl DC","Curr Opin Pulm Med","2022","2022/09/14","","","10.1097/MCP.0000000000000914"
"36539991","Medicinal cannabis improves sleep in adults with insomnia: a randomised double-blind placebo-controlled crossover study","Ried K, Tamanna T, Matthews S, Sali A.","J Sleep Res. 2023 Jun;32(3):e13793. doi: 10.1111/jsr.13793. Epub 2022 Dec 20.","Ried K","J Sleep Res","2023","2022/12/21","","","10.1111/jsr.13793"
"34115851","Treating insomnia symptoms with medicinal cannabis: a randomized, crossover trial of the efficacy of a cannabinoid medicine compared with placebo","Walsh JH, Maddison KJ, Rankin T, Murray K, McArdle N, Ree MJ, Hillman DR, Eastwood PR.","Sleep. 2021 Nov 12;44(11):zsab149. doi: 10.1093/sleep/zsab149.","Walsh JH","Sleep","2021","2021/06/11","PMC8598183","","10.1093/sleep/zsab149"
"28349316","Cannabis, Cannabinoids, and Sleep: a Review of the Literature","Babson KA, Sottile J, Morabito D.","Curr Psychiatry Rep. 2017 Apr;19(4):23. doi: 10.1007/s11920-017-0775-9.","Babson KA","Curr Psychiatry Rep","2017","2017/03/29","","","10.1007/s11920-017-0775-9"
"35537535","Cannabinoids, Insomnia, and Other Sleep Disorders","Lavender I, McGregor IS, Suraev A, Grunstein RR, Hoyos CM.","Chest. 2022 Aug;162(2):452-465. doi: 10.1016/j.chest.2022.04.151. Epub 2022 May 7.","Lavender I","Chest","2022","2022/05/10","","","10.1016/j.chest.2022.04.151"
"32785848","Complementary Therapies in Parkinson Disease: a Review of Acupuncture, Tai Chi, Qi Gong, Yoga, and Cannabis","Deuel LM, Seeberger LC.","Neurotherapeutics. 2020 Oct;17(4):1434-1455. doi: 10.1007/s13311-020-00900-y.","Deuel LM","Neurotherapeutics","2020","2020/08/14","PMC7851283","","10.1007/s13311-020-00900-y"
"36149724","Use of Cannabidiol in the Management of Insomnia: A Systematic Review","Ranum RM, Whipple MO, Croghan I, Bauer B, Toussaint LL, Vincent A.","Cannabis Cannabinoid Res. 2023 Apr;8(2):213-229. doi: 10.1089/can.2022.0122. Epub 2022 Sep 23.","Ranum RM","Cannabis Cannabinoid Res","2023","2022/09/23","","","10.1089/can.2022.0122"
"35617670","Evaluation of the efficacy and safety of cannabidiol-rich cannabis extract in children with autism spectrum disorder: randomized, double-blind, and placebo-controlled clinical trial","Silva EAD Junior, Medeiros WMB, Santos JPMD, Sousa JMM, Costa FBD, Pontes KM, Borges TC, Espínola C Neto Segundo, Andrade E Silva AH, Nunes ELG, Alves NT, Rosa MDD, Albuquerque KLGD.","Trends Psychiatry Psychother. 2024;46:e20210396. doi: 10.47626/2237-6089-2021-0396. Epub 2022 May 26.","Silva EAD Junior","Trends Psychiatry Psychother","2024","2022/05/26","PMC11332686","","10.47626/2237-6089-2021-0396"
"34870584","Cannabis use as a moderator of cognitive behavioral therapy for insomnia","Miller MB, Carpenter RW, Freeman LK, Curtis AF, Yurasek AM, McCrae CS.","J Clin Sleep Med. 2022 Apr 1;18(4):1047-1054. doi: 10.5664/jcsm.9796.","Miller MB","J Clin Sleep Med","2022","2021/12/06","PMC8974363","","10.5664/jcsm.9796"
"35484520","An investigation of cannabis use for insomnia in depression and anxiety in a naturalistic sample","Kuhathasan N, Minuzzi L, MacKillop J, Frey BN.","BMC Psychiatry. 2022 Apr 28;22(1):303. doi: 10.1186/s12888-022-03948-6.","Kuhathasan N","BMC Psychiatry","2022","2022/04/28","PMC9052466","","10.1186/s12888-022-03948-6"
