PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"31693457","Perceived Efficacy of Medical Cannabis in the Treatment of Co-Occurring Health-Related Quality of Life Symptoms","Bruce D, Foster E, Shattell M.","Behav Med. 2021 Apr-Jun;47(2):170-174. doi: 10.1080/08964289.2019.1683712. Epub 2019 Nov 6.","Bruce D","Behav Med","2021","2019/11/07","","","10.1080/08964289.2019.1683712"
"39294485","Older Adults' Use of Cannabis and Attitudes Around Disclosing Medical Cannabis Use to Their Healthcare Providers in California: A Mixed Methods Study","Abu Baker D, Cruz Rivera PN, Narasimhan R, Nguyen N, Tibiriçá L, Kepner WE, O'Malley P, Nguyen AL, Moore AA.","Drugs Real World Outcomes. 2024 Sep 19. doi: 10.1007/s40801-024-00451-0. Online ahead of print.","Abu Baker D","Drugs Real World Outcomes","2024","2024/09/18","","","10.1007/s40801-024-00451-0"
"16202145","Survey of Australians using cannabis for medical purposes","Swift W, Gates P, Dillon P.","Harm Reduct J. 2005 Oct 4;2:18. doi: 10.1186/1477-7517-2-18.","Swift W","Harm Reduct J","2005","2005/10/06","PMC1262744","","10.1186/1477-7517-2-18"
"12618922","Established and potential therapeutic applications of cannabinoids in oncology","Walsh D, Nelson KA, Mahmoud FA.","Support Care Cancer. 2003 Mar;11(3):137-43. doi: 10.1007/s00520-002-0387-7. Epub 2002 Aug 21.","Walsh D","Support Care Cancer","2003","2003/03/06","","","10.1007/s00520-002-0387-7"
"35970642","[Sleepiness among adolescents: etiology and multiple consequences]","Davidson-Urbain W, Servot S, Godbout R, Montplaisir JY, Touchette E.","Encephale. 2023 Feb;49(1):87-93. doi: 10.1016/j.encep.2022.05.004. Epub 2022 Aug 12.","Davidson-Urbain W","Encephale","2023","2022/08/15","","","10.1016/j.encep.2022.05.004"
"35660222","Objective sleep outcomes in randomized-controlled trials in persons with substance use disorders: A systematic review","Huhn AS, Dunn KE, Ellis JD, Sholler DJ, Tabaschek P, Burns R, Strain EC.","Drug Alcohol Depend. 2022 Aug 1;237:109509. doi: 10.1016/j.drugalcdep.2022.109509. Epub 2022 May 25.","Huhn AS","Drug Alcohol Depend","2022","2022/06/06","","","10.1016/j.drugalcdep.2022.109509"
"32889833","Medical Cannabis in Cancer Patients: A Survey of a Community Hematology Oncology Population","Macari DM, Gbadamosi B, Jaiyesimi I, Gaikazian S.","Am J Clin Oncol. 2020 Sep;43(9):636-639. doi: 10.1097/COC.0000000000000718.","Macari DM","Am J Clin Oncol","2020","2020/09/05","","","10.1097/COC.0000000000000718"
"35660223","Patient-reported sleep outcomes in randomized-controlled trials in persons with substance use disorders: A systematic review","Huhn AS, Ellis JD, Dunn KE, Sholler DJ, Tabaschek P, Burns R, Strain EC.","Drug Alcohol Depend. 2022 Aug 1;237:109508. doi: 10.1016/j.drugalcdep.2022.109508. Epub 2022 May 25.","Huhn AS","Drug Alcohol Depend","2022","2022/06/06","","","10.1016/j.drugalcdep.2022.109508"
"39144529","Medical Cannabis Prescription Practices and Quality of Life in Thai Patients: A Nationwide Prospective Observational Cohort Study","Stienrut P, Pongpirul K, Phutrakool P, Savigamin C, Sermsaksasithorn P, Chanhom O, Jeamjumrus P, Pongchaichanon P, Nootim P, Soisamrong M, Chuthaputti A, Wanaratna K, Thaneerat T.","Med Cannabis Cannabinoids. 2024 Jul 17;7(1):125-137. doi: 10.1159/000540153. eCollection 2024 Jan-Dec.","Stienrut P","Med Cannabis Cannabinoids","2024","2024/08/15","PMC11324265","","10.1159/000540153"
"25504799","Therapeutic potential of cannabinoids in counteracting chemotherapy-induced adverse effects: an exploratory review","Ostadhadi S, Rahmatollahi M, Dehpour AR, Rahimian R.","Phytother Res. 2015 Mar;29(3):332-8. doi: 10.1002/ptr.5265. Epub 2014 Dec 12.","Ostadhadi S","Phytother Res","2015","2014/12/16","","","10.1002/ptr.5265"
