PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"26962941","Macrophages and HIV-1: An Unhealthy Constellation","Sattentau QJ, Stevenson M.","Cell Host Microbe. 2016 Mar 9;19(3):304-10. doi: 10.1016/j.chom.2016.02.013.","Sattentau QJ","Cell Host Microbe","2016","2016/03/11","PMC5453177","NIHMS763558","10.1016/j.chom.2016.02.013"
"31175817","Next-Generation Preexposure Prophylaxis: Choices For Effective HIV Prevention","Mugwanya KK, Baeten JM.","J Infect Dis. 2020 Apr 7;221(9):1387-1389. doi: 10.1093/infdis/jiz273.","Mugwanya KK","J Infect Dis","2020","2019/06/09","PMC7137882","","10.1093/infdis/jiz273"
"22415473","HIV-1 prevention for HIV-1 serodiscordant couples","Curran K, Baeten JM, Coates TJ, Kurth A, Mugo NR, Celum C.","Curr HIV/AIDS Rep. 2012 Jun;9(2):160-70. doi: 10.1007/s11904-012-0114-z.","Curran K","Curr HIV/AIDS Rep","2012","2012/03/15","PMC3570050","NIHMS438113","10.1007/s11904-012-0114-z"
"26613994","Neurobehavioral Manifestations of Human Immunodeficiency Virus/AIDS: Diagnosis and Treatment","Singer EJ, Thames AD.","Neurol Clin. 2016 Feb;34(1):33-53. doi: 10.1016/j.ncl.2015.08.003.","Singer EJ","Neurol Clin","2016","2015/11/29","PMC4663681","NIHMS733127","10.1016/j.ncl.2015.08.003"
"27447446","Humanized mice for HIV and AIDS research","Victor Garcia J.","Curr Opin Virol. 2016 Aug;19:56-64. doi: 10.1016/j.coviro.2016.06.010. Epub 2016 Jul 19.","Victor Garcia J","Curr Opin Virol","2016","2016/07/23","PMC5021593","NIHMS804654","10.1016/j.coviro.2016.06.010"
"25304006","Optimizing ART adherence: update for HIV treatment and prevention","Robbins RN, Spector AY, Mellins CA, Remien RH.","Curr HIV/AIDS Rep. 2014 Dec;11(4):423-33. doi: 10.1007/s11904-014-0229-5.","Robbins RN","Curr HIV/AIDS Rep","2014","2014/10/12","PMC4268351","NIHMS634790","10.1007/s11904-014-0229-5"
"37952550","Efficacy and safety of long-acting cabotegravir compared with daily oral tenofovir disoproxil fumarate plus emtricitabine to prevent HIV infection in cisgender men and transgender women who have sex with men 1 year after study unblinding: a secondary analysis of the phase 2b and 3 HPTN 083 randomised controlled trial","Landovitz RJ, Hanscom BS, Clement ME, Tran HV, Kallas EG, Magnus M, Sued O, Sanchez J, Scott H, Eron JJ, Del Rio C, Fields SD, Marzinke MA, Eshleman SH, Donnell D, Spinelli MA, Kofron RM, Berman R, Piwowar-Manning EM, Richardson PA, Sullivan PA, Lucas JP, Anderson PL, Hendrix CW, Adeyeye A, Rooney JF, Rinehart AR, Cohen MS, McCauley M, Grinsztejn B; HPTN 083 Study Team.","Lancet HIV. 2023 Dec;10(12):e767-e778. doi: 10.1016/S2352-3018(23)00261-8. Epub 2023 Nov 9.","Landovitz RJ","Lancet HIV","2023","2023/11/12","PMC11375758","NIHMS2017279","10.1016/S2352-3018(23)00261-8"
"32992787","Macrophage Tropism in Pathogenic HIV-1 and SIV Infections","Moeser M, Nielsen JR, Joseph SB.","Viruses. 2020 Sep 25;12(10):1077. doi: 10.3390/v12101077.","Moeser M","Viruses","2020","2020/09/30","PMC7601331","","10.3390/v12101077"
"28615975","Pre-exposure prophylaxis for HIV prevention in women: current perspectives","Flash CA, Dale SK, Krakower DS.","Int J Womens Health. 2017 May 31;9:391-401. doi: 10.2147/IJWH.S113675. eCollection 2017.","Flash CA","Int J Womens Health","2017","2017/06/16","PMC5459979","","10.2147/IJWH.S113675"
"11268377","Psychoneuroimmunology and HIV/AIDS","Solomon GF, Ironson GH, Balbin EG.","Ann N Y Acad Sci. 2000;917:500-4. doi: 10.1111/j.1749-6632.2000.tb05414.x.","Solomon GF","Ann N Y Acad Sci","2000","2001/03/28","","","10.1111/j.1749-6632.2000.tb05414.x"
"28886986","Role of Connexin and Pannexin containing channels in HIV infection and NeuroAIDS","Malik S, Eugenin EA.","Neurosci Lett. 2019 Mar 16;695:86-90. doi: 10.1016/j.neulet.2017.09.005. Epub 2017 Sep 5.","Malik S","Neurosci Lett","2019","2017/09/10","PMC5837894","NIHMS905618","10.1016/j.neulet.2017.09.005"
"23073703","Pharmacists as providers of HIV pre-exposure prophylaxis","Bruno C, Saberi P.","Int J Clin Pharm. 2012 Dec;34(6):803-6. doi: 10.1007/s11096-012-9709-0. Epub 2012 Oct 17.","Bruno C","Int J Clin Pharm","2012","2012/10/18","PMC3501608","NIHMS415425","10.1007/s11096-012-9709-0"
"27122594","Renal Function and Tenofovir Disoproxil Fumarate for Preexposure Prophylaxis: How Safe Is Safe Enough?","Krakower DS, Mayer KH.","J Infect Dis. 2016 Oct 1;214(7):983-5. doi: 10.1093/infdis/jiw169. Epub 2016 Apr 27.","Krakower DS","J Infect Dis","2016","2016/04/29","PMC5021225","","10.1093/infdis/jiw169"
"33128874","Same-day prescribing of daily oral pre-exposure prophylaxis for HIV prevention","Rowan SE, Patel RR, Schneider JA, Smith DK.","Lancet HIV. 2021 Feb;8(2):e114-e120. doi: 10.1016/S2352-3018(20)30256-3. Epub 2020 Oct 28.","Rowan SE","Lancet HIV","2021","2020/10/31","","","10.1016/S2352-3018(20)30256-3"
"34949264","Urgent appeal to implement pre-exposure prophylaxis for pregnant and breastfeeding women in South Africa","Joseph Davey DL, Davies N, Raphael Y, Pillay Y, Bekker LG.","S Afr Med J. 2021 Oct 6;111(11):1038-1039.","Joseph Davey DL","S Afr Med J","2021","2021/12/24","PMC9190765","NIHMS1811341",""
"35126374","Targeting CCR5 as a Component of an HIV-1 Therapeutic Strategy","Mohamed H, Gurrola T, Berman R, Collins M, Sariyer IK, Nonnemacher MR, Wigdahl B.","Front Immunol. 2022 Jan 20;12:816515. doi: 10.3389/fimmu.2021.816515. eCollection 2021.","Mohamed H","Front Immunol","2022","2022/02/07","PMC8811197","","10.3389/fimmu.2021.816515"
