PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"26677512","Hereditary Fructose Intolerance","Gaughan S, Ayres L, Baker PR II.","2015 Dec 17 [updated 2021 Feb 18]. In: Adam MP, Feldman J, Mirzaa GM, Pagon RA, Wallace SE, Amemiya A, editors. GeneReviews(®) [Internet]. Seattle (WA): University of Washington, Seattle; 1993–2024.","Gaughan S","GeneReviews(®)","1993","2021/02/18","","",""
"32999501","Formulation and Stability Study of Omeprazole Oral Liquid Suspension for Pediatric Patients","Boscolo O, Perra F, Salvo L, Buontempo F, Lucangioli S.","Hosp Pharm. 2020 Oct;55(5):314-322. doi: 10.1177/0018578719844704. Epub 2019 Apr 25.","Boscolo O","Hosp Pharm","2020","2020/10/01","PMC7502864","","10.1177/0018578719844704"
"36471989","[Key techniques for granulation and flavor masking of innovative Chinese medicinal preparations for children: a review]","Wu CH, Yang YJ, Zhu MM, Yang B, Liu J, Zhao J, Jia XB, Feng L.","Zhongguo Zhong Yao Za Zhi. 2022 Nov;47(21):5708-5716. doi: 10.19540/j.cnki.cjcmm.20220610.602.","Wu CH","Zhongguo Zhong Yao Za Zhi","2022","2022/12/06","","","10.19540/j.cnki.cjcmm.20220610.602"
"31315084","Extemporaneous Indomethacin Oral Suspension Prepared from Injectable Ampules for Therapy in Premature Infants and Pediatric Patients","Lafuente Y, García MC, Jiminez-Kairuz A.","Int J Pharm Compd. 2019 Jul-Aug;23(4):324-331.","Lafuente Y","Int J Pharm Compd","2019","2019/07/18","","",""
"17090745","Stability and viscosity of a flavored omeprazole oral suspension for pediatric use","Burnett JE, Balkin ER.","Am J Health Syst Pharm. 2006 Nov 15;63(22):2240-7. doi: 10.2146/ajhp060026.","Burnett JE","Am J Health Syst Pharm","2006","2006/11/09","","","10.2146/ajhp060026"
"31611144","Organoleptic excipients used in pediatric antibiotics","Nakama KA, Dos Santos RB, Serpa P, Maciel TR, Haas SE.","Arch Pediatr. 2019 Oct;26(7):431-436. doi: 10.1016/j.arcped.2019.09.008. Epub 2019 Oct 12.","Nakama KA","Arch Pediatr","2019","2019/10/16","","","10.1016/j.arcped.2019.09.008"
"30959935","Development and Palatability Assessment of Norvir® (Ritonavir) 100 mg Powder for Pediatric Population","Morris JB, Tisi DA, Tan DCT, Worthington JH.","Int J Mol Sci. 2019 Apr 6;20(7):1718. doi: 10.3390/ijms20071718.","Morris JB","Int J Mol Sci","2019","2019/04/10","PMC6479559","","10.3390/ijms20071718"
"35631381","Development of a Hospital Compounded, Taste-Masked, Temozolomide Oral Suspension and 5-Year Real-Life Experience in Treating Paediatric Patients","Annereau M, Hinterlang M, Bienayme H, Vassal G, Pinon A, Schmitt M, Denis L, Lemarchand C, Martin L, Lemare F, Abbou S, Bastid J, Tortolano L.","Pharmaceuticals (Basel). 2022 Apr 29;15(5):555. doi: 10.3390/ph15050555.","Annereau M","Pharmaceuticals (Basel)","2022","2022/05/28","PMC9146721","","10.3390/ph15050555"
"36634740","Orally disintegrating drug carriers for paediatric pharmacotherapy","Kean EA, Adeleke OA.","Eur J Pharm Sci. 2023 Mar 1;182:106377. doi: 10.1016/j.ejps.2023.106377. Epub 2023 Jan 10.","Kean EA","Eur J Pharm Sci","2023","2023/01/12","","","10.1016/j.ejps.2023.106377"
"39412306","Physicochemical and microbiological stability of 40 mg/mL amiodarone hydrochloride oral suspension","Cavelier M, Gondé H, Costa D, Lamoureux F, Pereira T, Varin R, Hervouët C.","Am J Health Syst Pharm. 2024 Oct 16:zxae299. doi: 10.1093/ajhp/zxae299. Online ahead of print.","Cavelier M","Am J Health Syst Pharm","2024","2024/10/16","","","10.1093/ajhp/zxae299"
"39245358","Pediatric oral extemporaneous preparations and practices: International Pharmaceutical Federation (FIP) global study","Fadda HM, Weiler H, Carvalho M, Lee YZ, Dassouki H, AbuBlan R, Iurian S, Hamid A, Şeremet G, Li Z, Tuleu C, Minghetti P, Pauletti GM.","Eur J Pharm Biopharm. 2024 Nov;204:114483. doi: 10.1016/j.ejpb.2024.114483. Epub 2024 Sep 6.","Fadda HM","Eur J Pharm Biopharm","2024","2024/09/08","","","10.1016/j.ejpb.2024.114483"
"23979771","Formulation and accelerated stability studies for an extemporaneous suspension of amiodarone hydrochloride","Alexander KS Phd Rph, Thyagarajapuram N.","Int J Pharm Compd. 2003 Sep-Oct;7(5):389-93.","Alexander KS Phd Rph","Int J Pharm Compd","2003","2013/08/28","","",""
