PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"31156945","A stability study of amphotericin B, colistin and tobramycin in a hydrophilic suspension commonly used for selective decontamination of the digestive tract by HPLC and in vitro potency measurements","Pfeifer C, Noll S, Gerecke H, Fassauer G, Jira T, Remane Y, Vogel J, Frontini R, Reinhardt R.","Eur J Hosp Pharm. 2017 Jul;24(4):235-241. doi: 10.1136/ejhpharm-2016-000931. Epub 2016 Aug 5.","Pfeifer C","Eur J Hosp Pharm","2017","2019/06/04","PMC6451449","","10.1136/ejhpharm-2016-000931"
"22897617","Comparison between autologous noncultured epidermal cell suspension and suction blister epidermal grafting in stable vitiligo: a randomized study","Budania A, Parsad D, Kanwar AJ, Dogra S.","Br J Dermatol. 2012 Dec;167(6):1295-301. doi: 10.1111/bjd.12007.","Budania A","Br J Dermatol","2012","2012/08/18","","","10.1111/bjd.12007"
"20579815","Consumer evaluation of venison sensory quality: effects of sex, body condition score and carcase suspension method","Hutchison CL, Mulley RC, Wiklund E, Flesch JS.","Meat Sci. 2010 Oct;86(2):311-6. doi: 10.1016/j.meatsci.2010.04.031. Epub 2010 Apr 29.","Hutchison CL","Meat Sci","2010","2010/06/29","","","10.1016/j.meatsci.2010.04.031"
"32042749","Identification of genes and pathways related to atherosclerosis comorbidity and depressive behavior via RNA-seq and bioinformation analysis in ApoE(-/-) mice","Zhou J, Zhang C, Wu X, Xie Q, Li L, Chen Y, Yan H, Ren P, Huang X.","Ann Transl Med. 2019 Dec;7(23):733. doi: 10.21037/atm.2019.11.118.","Zhou J","Ann Transl Med","2019","2020/02/12","PMC6990041","","10.21037/atm.2019.11.118"
"33428279","Donor to recipient ratios in the surgical treatment of vitiligo and piebaldism: a systematic review","Narayan VS, van den Bol LLC, van Geel N, Bekkenk MW, Luiten RM, Wolkerstorfer A.","J Eur Acad Dermatol Venereol. 2021 May;35(5):1077-1086. doi: 10.1111/jdv.17108. Epub 2021 Feb 12.","Narayan VS","J Eur Acad Dermatol Venereol","2021","2021/01/11","PMC8247963","","10.1111/jdv.17108"
"35380466","First report of fusarium wilt disease caused by Fusarium equiseti on grafted watermelon in Korea","Han YK, Dumin W, Park MJ, Bae YS, Park JH, Back CG.","Plant Dis. 2022 Apr 5. doi: 10.1094/PDIS-08-21-1745-PDN. Online ahead of print.","Han YK","Plant Dis","2022","2022/04/05","","","10.1094/PDIS-08-21-1745-PDN"
"30993343","Carvacrol antimicrobial wash treatments reduce Campylobacter jejuni and aerobic bacteria on broiler chicken skin","Shrestha S, Wagle BR, Upadhyay A, Arsi K, Donoghue DJ, Donoghue AM.","Poult Sci. 2019 Sep 1;98(9):4073-4083. doi: 10.3382/ps/pez198.","Shrestha S","Poult Sci","2019","2019/04/18","","","10.3382/ps/pez198"
"8878244","Properties of azithromycin that enhance the potential for compliance in children with upper respiratory tract infections","Powers JL.","Pediatr Infect Dis J. 1996 Sep;15(9 Suppl):S30-7. doi: 10.1097/00006454-199609009-00006.","Powers JL","Pediatr Infect Dis J","1996","1996/09/01","","","10.1097/00006454-199609009-00006"
"38844319","Co-adsorption and selective-adsorption of heavy metals and dyes from aqueous solution by bio-based humus/chitosan hydrogels","Chen R, Gan C, Cai B, Liu R, Xu W, Yin W, Li H, Yu L, Yong Q.","J Environ Sci (China). 2024 Nov;145:193-204. doi: 10.1016/j.jes.2023.09.004. Epub 2023 Sep 13.","Chen R","J Environ Sci (China)","2024","2024/06/06","","","10.1016/j.jes.2023.09.004"
"34738400","[Comparative study on anti-depressant effect of Zhizichi Decoction and its solid fermentation product on CUMS rats]","Chen LY, Chen YZ, Mi YG, Sun YL, Zheng HY, Ding CJ, Wang WM.","Zhongguo Zhong Yao Za Zhi. 2021 Oct;46(19):5044-5051. doi: 10.19540/j.cnki.cjcmm.20210713.406.","Chen LY","Zhongguo Zhong Yao Za Zhi","2021","2021/11/05","","","10.19540/j.cnki.cjcmm.20210713.406"
"30342129","Influence of Lactobacillus/Candida fermentation on the starch structure of rice and the related noodle features","Li N, Zhang B, Zhao S, Niu M, Jia C, Huang Q, Liu Y, Lin Q.","Int J Biol Macromol. 2019 Jan;121:882-888. doi: 10.1016/j.ijbiomac.2018.10.097. Epub 2018 Oct 18.","Li N","Int J Biol Macromol","2019","2018/10/21","","","10.1016/j.ijbiomac.2018.10.097"
"37261877","First Report of Cobweb Disease in Auricularia cornea var. Li. Caused by Hypomyces mycophilus in China","Cao ZJ, Liu Y, Li J, Zeng Z, Song S, Qin W.","Plant Dis. 2023 Jun 1. doi: 10.1094/PDIS-09-22-2214-PDN. Online ahead of print.","Cao ZJ","Plant Dis","2023","2023/06/01","","","10.1094/PDIS-09-22-2214-PDN"
"30221214","Suspended Scattering Particles in Motion: A Novel Feature of OCT Angiography in Exudative Maculopathies","Kashani AH, Green KM, Kwon J, Chu Z, Zhang Q, Wang RK, Garrity S, Sarraf D, Rebhun CB, Waheed NK, Schaal KB, Munk MR, Gattoussi S, Freund KB, Zheng F, Liu G, Rosenfeld PJ.","Ophthalmol Retina. 2018 Jul;2(7):694-702. doi: 10.1016/j.oret.2017.11.004. Epub 2017 Dec 15.","Kashani AH","Ophthalmol Retina","2018","2018/09/18","PMC6133252","NIHMS928084","10.1016/j.oret.2017.11.004"
"31190795","Hybrid curcumin-phospholipid complex-near-infrared dye oral drug delivery system to inhibit lung metastasis of breast cancer","Liu Y, Huang P, Hou X, Yan F, Jiang Z, Shi J, Xie X, Shen J, Fan Q, Wang Z, Feng N.","Int J Nanomedicine. 2019 May 7;14:3311-3330. doi: 10.2147/IJN.S200847. eCollection 2019.","Liu Y","Int J Nanomedicine","2019","2019/06/14","PMC6511632","","10.2147/IJN.S200847"
"20686207","[Method for the evaluation of the stability and usability after opening packages of orally disintegrating tablets: case of amlodipine besilate products]","Hori K, Yoshida N, Okumura T, Okamura Y, Kawakami J.","Yakugaku Zasshi. 2010 Aug;130(8):1029-40. doi: 10.1248/yakushi.130.1029.","Hori K","Yakugaku Zasshi","2010","2010/08/06","","","10.1248/yakushi.130.1029"
"22306288","Ethnoknowledge of Bukusu community on livestock tick prevention and control in Bungoma district, western Kenya","Wanzala W, Takken W, Mukabana WR, Pala AO, Hassanali A.","J Ethnopharmacol. 2012 Mar 27;140(2):298-324. doi: 10.1016/j.jep.2012.01.021. Epub 2012 Jan 24.","Wanzala W","J Ethnopharmacol","2012","2012/02/07","","","10.1016/j.jep.2012.01.021"
"36837225","Micro Nanofibrillated Cellulose as Functional Additive Supporting Processability of Surface-Active Mineral Suspensions: Exemplified by Pixel Coating of an NOx-Sorbent Layer","Dimic-Misic K, Imani M, Barac N, Janackovic D, Uskokovic P, Barcelo E, Gane P.","Materials (Basel). 2023 Feb 14;16(4):1598. doi: 10.3390/ma16041598.","Dimic-Misic K","Materials (Basel)","2023","2023/02/25","PMC9961512","","10.3390/ma16041598"
"28068043","APPLICATION OF OAT, WHEAT AND RYE BRAN TO MODIFY NUTRITIONAL PROPERTIES, PHYSICAL AND SENSORY CHARACTERISTICS OF EXTRUDED CORN SNACKS","Makowska A, Polcyn A, Chudy S, Michniewicz J.","Acta Sci Pol Technol Aliment. 2015 Oct-Dec;14(4):375-386. doi: 10.17306/J.AFS.2015.4.37.","Makowska A","Acta Sci Pol Technol Aliment","2015","2017/01/10","","","10.17306/J.AFS.2015.4.37"
"20565666","Conifer root and butt rot caused by Heterobasidion annosum (Fr.) Bref. s.l","Asiegbu FO, Adomas A, Stenlid J.","Mol Plant Pathol. 2005 Jul 1;6(4):395-409. doi: 10.1111/j.1364-3703.2005.00295.x.","Asiegbu FO","Mol Plant Pathol","2005","2010/06/23","","","10.1111/j.1364-3703.2005.00295.x"
"25695439","Effects of pH changes of stock normal saline solution on 5 percent red cell suspension","Martin GL, Caraan PJ, Chua JJ, Crescini JA, Diokno JM, Javier CB, Reyes KB, Soliven RY.","Immunohematology. 2014;30(3):126-34.","Martin GL","Immunohematology","2014","2015/02/20","","",""
"36822037","Multiple-open-tubular column enabling transverse diffusion. Part 3: Simulation of solute dispersion along a real three dimensional-printed column with quadratic channels","Gritti F, Hlushkou D, Tallarek U.","J Chromatogr A. 2023 Mar 29;1693:463860. doi: 10.1016/j.chroma.2023.463860. Epub 2023 Feb 21.","Gritti F","J Chromatogr A","2023","2023/02/23","","","10.1016/j.chroma.2023.463860"
"16204529","Formation of catechols via removal of acid side chains from ibuprofen and related aromatic acids","Murdoch RW, Hay AG.","Appl Environ Microbiol. 2005 Oct;71(10):6121-5. doi: 10.1128/AEM.71.10.6121-6125.2005.","Murdoch RW","Appl Environ Microbiol","2005","2005/10/06","PMC1265923","","10.1128/AEM.71.10.6121-6125.2005"
"31927931","Transparent Films Made of Highly Scattering Particles","Erdem T, Yang L, Xu P, Altintas Y, O'Neil T, Caciagli A, Ducati C, Mutlugun E, Scherman OA, Eiser E.","Langmuir. 2020 Feb 4;36(4):911-918. doi: 10.1021/acs.langmuir.9b01014. Epub 2020 Jan 23.","Erdem T","Langmuir","2020","2020/01/14","","","10.1021/acs.langmuir.9b01014"
"12542303","Highly enhanced photoreductive degradation of perchlorinated compounds on dye-sensitized metal/TiO2 under visible light","Bae E, Choi W.","Environ Sci Technol. 2003 Jan 1;37(1):147-52. doi: 10.1021/es025617q.","Bae E","Environ Sci Technol","2003","2003/01/25","","","10.1021/es025617q"
"26695233","Development of a fast and simple test system for the semiquantitative protein detection in cerebrospinal liquids based on gold nanoparticles","Göbel G, Lange R, Hollidt JM, Lisdat F.","Talanta. 2016;146:49-54. doi: 10.1016/j.talanta.2015.08.016. Epub 2015 Aug 8.","Göbel G","Talanta","2016","2015/12/24","","","10.1016/j.talanta.2015.08.016"
"12889790","Anthocyanic vacuolar inclusions (AVIs) selectively bind acylated anthocyanins in Vitis vinifera L. (grapevine) suspension culture","Conn S, Zhang W, Franco C.","Biotechnol Lett. 2003 Jun;25(11):835-9. doi: 10.1023/a:1024028603089.","Conn S","Biotechnol Lett","2003","2003/08/02","","","10.1023/a:1024028603089"
"17152831","[The roots of Cha and Gambir]","Sugiyama S.","Yakushigaku Zasshi. 2005;40(2):98-106.","Sugiyama S","Yakushigaku Zasshi","2005","2006/12/13","","",""
"10412508","[A supplementary sportmen food formulation and characterization]","Del Castillo VC, Armada M, Gottifredi JC.","Arch Latinoam Nutr. 1999 Mar;49(1):61-6.","Del Castillo VC","Arch Latinoam Nutr","1999","1999/07/21","","",""
