PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"29999946","Amoxicillin","","2024 Jun 15. Drugs and Lactation Database (LactMed®) [Internet]. Bethesda (MD): National Institute of Child Health and Human Development; 2006–.","","Drugs and Lactation Database (LactMed®)","2006","2024/06/15","","",""
"35838110","Pharmacokinetics of Amoxicillin and Clavulanate Potassium for Suspension (200 mg/28.5 mg) in Healthy Subjects: Sample Add Stabilizer Study and Food Effects","Xu SM, Qin F, Zhang YD, Xu PS.","Clin Pharmacol Drug Dev. 2022 Nov;11(11):1314-1321. doi: 10.1002/cpdd.1143. Epub 2022 Jul 15.","Xu SM","Clin Pharmacol Drug Dev","2022","2022/07/15","","","10.1002/cpdd.1143"
"32322742","Acceptability, adherence, and clinical outcomes, of amoxicillin dispersible tablets versus oral suspension in treatment of children aged 2-59 Months with pneumonia, Kenya: A cluster randomized controlled trial","Angwa LM, Ouma C, Okoth P, Nyamai R, Kamau NG, Mutai K, Onono MA.","Heliyon. 2020 Apr 14;6(4):e03786. doi: 10.1016/j.heliyon.2020.e03786. eCollection 2020 Apr.","Angwa LM","Heliyon","2020","2020/04/24","PMC7160563","","10.1016/j.heliyon.2020.e03786"
"28212319","A Validated Stability-Indicating HPLC Method for Simultaneous Determination of Amoxicillin and Enrofloxacin Combination in an Injectable Suspension","Batrawi N, Wahdan S, Al-Rimawi F.","Sci Pharm. 2017 Feb 16;85(1):6. doi: 10.3390/scipharm85010006.","Batrawi N","Sci Pharm","2017","2017/02/18","PMC5387366","","10.3390/scipharm85010006"
"8578163","Lansoprazole capsules and amoxicillin oral suspension in the treatment of peptic ulcer disease","Hatlebakk JG, Nesje LB, Hausken T, Bang CJ, Berstad A.","Scand J Gastroenterol. 1995 Nov;30(11):1053-7. doi: 10.3109/00365529509101606.","Hatlebakk JG","Scand J Gastroenterol","1995","1995/11/01","","","10.3109/00365529509101606"
"16507381","A pooled analysis of seven randomized crossover studies of the palatability of cefdinir oral suspension versus amoxicillin/clavulanate potassium, cefprozil, azithromycin, and amoxicillin in children aged 4 to 8 years","Holas C, Chiu YL, Notario G, Kapral D.","Clin Ther. 2005 Dec;27(12):1950-60. doi: 10.1016/j.clinthera.2005.11.017.","Holas C","Clin Ther","2005","2006/03/02","","","10.1016/j.clinthera.2005.11.017"
"9076838","Empiric antibiotic selection criteria for respiratory infections in pediatric practice","Pichichero ME.","Pediatr Infect Dis J. 1997 Mar;16(3 Suppl):S60-4. doi: 10.1097/00006454-199703001-00007.","Pichichero ME","Pediatr Infect Dis J","1997","1997/03/01","","","10.1097/00006454-199703001-00007"
"11144401","Comparison of the palatability of the oral suspension of cefdinir vs. amoxicillin/clavulanate potassium, cefprozil and azithromycin in pediatric patients","Powers JL, Gooch WM 3rd, Oddo LP.","Pediatr Infect Dis J. 2000 Dec;19(12 Suppl):S174-80. doi: 10.1097/00006454-200012001-00008.","Powers JL","Pediatr Infect Dis J","2000","2001/01/06","","","10.1097/00006454-200012001-00008"
"2218657","Comparison of cefuroxime axetil, cefaclor, and amoxicillin-clavulanate potassium suspensions in acute otitis media in infants and children","Pichichero M, Aronovitz GH, Gooch WM, McLinn SE, Maddern B, Johnson C, Darden PM.","South Med J. 1990 Oct;83(10):1174-7. doi: 10.1097/00007611-199010000-00013.","Pichichero M","South Med J","1990","1990/10/01","","","10.1097/00007611-199010000-00013"
"8878243","A multicenter, randomized, open label comparison of azithromycin and amoxicillin/clavulanate in acute otitis media among children attending day care or school","Khurana CM.","Pediatr Infect Dis J. 1996 Sep;15(9 Suppl):S24-9. doi: 10.1097/00006454-199609009-00005.","Khurana CM","Pediatr Infect Dis J","1996","1996/09/01","","","10.1097/00006454-199609009-00005"
