,PMID,abstract
0,36102608,"This review aims to summarize recent updates in the area of cannabis use for insomnia. Cannabis products have continued to become more potent, particularly in regard to delta-9- tetrahydrocannabinol (THC) concentration. Additionally, the use of cannabis has continued to become more accepted with less legal restrictions. The reported use of cannabis for relief of symptoms in sleep disorders appears to be increasing, however the specific effects of cannabinoids on sleep varies with cannabinoid type and concentration. Some evidence supports claims of efficacy of cannabinoids in sleep disorders such as insomnia, while other evidence is either lacking or in some cases contradictory. Regular cannabis use has been associated with withdrawal which can profoundly alter sleep. Also, clinicians should be aware of the potential effects of cannabis on the metabolism of other medications as well as the fact that cannabis use has been reported in a significant number of women in the periods before, during, and after pregnancy. Cannabis use has been becoming more and more prevalent in the setting of relaxed restrictions and easier consumer level access to cannabis and cannabis products. A relative paucity of high quality evidence regarding the effects of cannabis on sleep and the treatment of insomnia symptoms remains. The optimal type, concentration, ratio, and dosage form of cannabinoids in the treatment of insomnia symptoms needs further clarification. As the trend of acceptance and use of cannabis continues, more high quality evidence to help guide clinicians in their recommendations will hopefully become available. "
1,36539991,"Insomnia or difficulty falling and or staying asleep is experienced by up to 30% of the general population. This randomised crossover double-blind placebo-controlled 6-week trial aimed to assess the tolerability and effectiveness of the Entoura-10:15 medicinal cannabis oil on sleep in adults with insomnia. A total of 29 participants with self-reported clinical insomnia completed the crossover trial. Participants were randomly allocated to receive placebo or active oil containing 10 mg/ml tetrahydrocannabinol (THC) and 15 mg/ml cannabidiol (CBD) over 2-weeks titrated 0.2-1.5 ml/day, followed by a 1-week wash-out period before crossover. Tolerability was assessed by daily diary. Effectiveness was measured by saliva midnight melatonin levels, validated questionnaires, i.e., the Insomnia Severity Index, and the Fitbit activity/sleep wrist tracker. Entoura-10:15 medicinal cannabis oil was generally well tolerated, and was effective in improving sleep, whereby 60% of participants no longer classified as clinical insomniacs at the end of the 2-week intervention period. Midnight melatonin levels significantly improved in the active group by 30% compared to a 20% decline in the placebo group (p = 0.035). Medicinal cannabis oil improved both time and quality of sleep, in particular light sleep increased by 21 min/night compared to placebo (p = 0.041). The quality of sleep improved overall by up to 80% in the active group (p "
2,34115851,"This randomized, double-blind, placebo-controlled, crossover study was conducted to evaluate the safety and efficacy of 2 weeks of nightly sublingual cannabinoid extract (ZTL-101) in treating chronic insomnia (symptoms ≥3 months). Co-primary study endpoints were safety of the medication based on adverse event reporting and global insomnia symptoms (Insomnia Severity Index [ISI]). Secondary endpoints included: self-reported (sleep diary), actigraphy-derived, and polysomnography measurements of sleep onset latency (SOL), wake after sleep onset (WASO), total sleep time (TST), sleep efficiency (SE); and self-reported assessments of sleep quality (sSQ) and feeling rested upon waking. Adjusted mean differences between placebo and ZTL-101 were calculated. Twenty-three of 24 randomized participants (n = 20 female, mean age 53 ± 9 years) completed the protocol. No serious adverse events were reported. Forty mild, nonserious, adverse events were reported (36 during ZTL-101) with all but one resolving overnight or soon after waking. Compared to placebo, ZTL-101 decreased ISI (-5.07 units [95% CI: -7.28 to -2.86]; p = 0.0001) and self-reported SOL (-8.45 min [95% CI: -16.33 to -0.57]; p = 0.04) and increased self-reported TST (64.6 min [95% CI: 41.70 to 87.46]; p < 0.0001), sSQ (0.74 units [95% CI: 0.51 to 0.97]; p < 0.0001), and feeling of being rested on waking (0.51 units [95% CI: 0.24 to 0.78]; p = 0.0007). ZTL-101 also decreased actigraphy-derived WASO (-10.2 min [95% CI: -16.2 to -4.2]; p = 0.002), and increased actigraphy-derived TST (33.4 min [95% CI: 23.07 to 43.76]; p < 0.001) and SE (2.9% [95% CI: 2.0 to 3.8]; p = 0.005). Two weeks of nightly sublingual administration of a cannabinoid extract (ZTL-101) is well tolerated and improves insomnia symptoms and sleep quality in individuals with chronic insomnia symptoms. ANZCTR; anzctr.org.au; ACTRN12618000078257. "
3,28349316,"The current review aims to summarize the state of research on cannabis and sleep up to 2014 and to review in detail the literature on cannabis and specific sleep disorders from 2014 to the time of publication. Preliminary research into cannabis and insomnia suggests that cannabidiol (CBD) may have therapeutic potential for the treatment of insomnia. Delta-9 tetrahydrocannabinol (THC) may decrease sleep latency but could impair sleep quality long-term. Novel studies investigating cannabinoids and obstructive sleep apnea suggest that synthetic cannabinoids such as nabilone and dronabinol may have short-term benefit for sleep apnea due to their modulatory effects on serotonin-mediated apneas. CBD may hold promise for REM sleep behavior disorder and excessive daytime sleepiness, while nabilone may reduce nightmares associated with PTSD and may improve sleep among patients with chronic pain. Research on cannabis and sleep is in its infancy and has yielded mixed results. Additional controlled and longitudinal research is critical to advance our understanding of research and clinical implications. "
4,35537535,"Sleep disturbances are often cited as a primary reason for medicinal cannabis use, and there is increasing clinical interest in the therapeutic potential of cannabinoids in treating sleep disorders. Burgeoning evidence suggests a role of the endocannabinoid system in regulating the circadian sleep-wake cycle, highlighting a potential avenue for developing novel therapeutics. Despite widespread use of cannabis products as sleep aids globally, robustly designed studies verifying efficacy in sleep-disordered populations are limited. Although some study outcomes have suggested cannabinoid utility in insomnia disorder and sleep apnea, most studies to date are limited by small sample sizes, lack of rigorously controlled study designs, and high risk of bias. This critical review summarizes the current evidence for the use of cannabinoids as a treatment for sleep disorders and provides an overview of endocannabinoid modulation of sleep-wake cycles, as well as the sleep-modulating effects of plant-derived cannabinoids such as delta-9-tetrahydrocannbinol, cannabidiol, and cannabinol. The review also discusses practical considerations for clinicians regarding cannabinoid formulations, routes of administration, respiratory concerns, dosing, potential side effects, drug interactions, and effects relevant to driving, tolerance, and withdrawal. Although current interest in, and uptake of, medicinal cannabis use for sleep disorders may have surpassed the evidence base, there is a strong rationale for continued investigation into the therapeutic potential of cannabinoids. "
5,32785848,"Parkinson disease (PD) is a progressive neurodegenerative condition characterized by bradykinesia, rigidity, resting tremor, and postural instability. Non-motor symptoms, including pain, fatigue, insomnia, anxiety, and depression to name a few, are increasingly recognized and often just as disabling at motor symptoms. The mainstay of treatment is dopamine replacement; however, the beneficial effects tend to wane over time with disease progression, and patients often experience motor fluctuations and medication side effects. The lack of a disease-modifying intervention and the shortcomings of traditional symptomatic medications have led many patients to pursue complementary therapies to alleviate motor and non-motor symptoms associated with PD. The term complementary implies that the therapy is used along with conventional medicine and may include supplements, manipulative treatments (chiropractic, massage), exercise-based programs, and mind-body practices. As these practices become more widespread in Western medicine, there is a growing interest in evaluating their effects on a number of medical conditions, PD included. In this review, we provide an update on clinical trials that have evaluated the effectiveness of complementary treatments for patients with PD, specifically focusing on acupuncture, Tai Chi, Qi Gong, yoga, and cannabis. "
6,36149724,
7,35617670,"Autism spectrum disorder (ASD) is characterized by persistent deficits in social communication and social interaction and by restricted and repetitive patterns of behavior. Some studies have shown that substances derived from Cannabis sativa improve the quality of life of children with ASD without causing serious adverse effects, thus providing an alternative therapeutic option. The objective of this study was to evaluate the efficacy and safety of a cannabis extract rich in cannabidiol (CBD) in children with ASD. In this randomized, double-blind, placebo-controlled clinical trial, 60 children, aged from 5 to 11 years, were selected and divided into two groups: the treatment group, which received the CBD-rich cannabis extract, and the control group, which received the placebo. They both used their respective products for a period of 12 weeks. Statistical analysis was done by two-factor mixed analysis of variance (two-way ANOVA). Significant results were found for social interaction (F1,116 = 14.13, p = 0.0002), anxiety (F1,116 = 5.99, p = 0.016), psychomotor agitation (F1,116 = 9.22, p = 0.003), number of meals a day (F1,116 = 4.11, p = 0.04), and concentration (F1,48 = 6.75, p = 0.01), the last of which was only significant in mild ASD cases. Regarding safety, it was found that only three children in the treatment group (9.7%) had adverse effects, namely dizziness, insomnia, colic, and weight gain. CBD-rich cannabis extract was found to improve one of the diagnostic criteria for ASD (social interaction), as well as features that often co-exist with ASD, and to have few serious adverse effects. "
8,34870584,"Cannabis use is common among young adults and has been proposed as a potential treatment for insomnia. However, controlled studies examining the impact of cannabis use on insomnia symptoms are rare. This secondary analysis of published trial data tested cannabis use during cognitive behavioral treatment for insomnia (CBT-I) as a moderator of treatment efficacy. Young adults (ages 18-30 years) who reported past-month binge drinking (4/5+ drinks for women/men) and met diagnostic criteria for insomnia disorder were randomized to CBT-I (n = 28) or sleep hygiene (n = 28) groups. Interaction effects were tested using multilevel models. Outcomes included insomnia severity, actigraphy-assessed sleep efficiency, diary-assessed sleep quality, drinking quantity, and alcohol-related consequences. Twenty-six participants (46%; 12 in the sleep hygiene group and 14 in the CBT-I group) reported using cannabis during the treatment phase of the study, on an average of 23% of treatment days (range, 3%-100%). Relative to those who did not use cannabis, participants who used cannabis during treatment reported heavier drinking and more frequent cigarette use. Approximately 1 in 4 cannabis users (27%) reported using cannabis to help with sleep; however, cannabis users and nonusers did not differ in the use of alcohol as a sleep aid. Controlling for sex, race, drinking quantity, cigarette use, symptoms of depression, and symptoms of anxiety, use of cannabis during treatment did not moderate CBT-I effects on insomnia severity ( CBT-I is effective in reducing insomnia symptoms among young adult drinkers with insomnia, regardless of cannabis use. Registry: ClinicalTrials.gov; Name: The Insomnia Treatment and Problems (iTAP) Study; URL: https://clinicaltrials.gov/ct2/show/NCT03627832; Identifier: NCT03627832. Miller MB, Carpenter RW, Freeman LK, Curtis AF, Yurasek AM, McCrae CS. Cannabis use as a moderator of cognitive behavioral therapy for insomnia.  "
9,35484520,"Little is known about cannabis use for insomnia in individuals with depression, anxiety, and comorbid depression and anxiety. To develop a better understanding of distinct profiles of cannabis use for insomnia management, a retrospective cohort study was conducted on a large naturalistic sample. Data were collected using the medicinal cannabis tracking app, Strainprint®, which allows users to monitor and track cannabis use for therapeutic purposes. The current study examined users managing insomnia symptoms in depression (n = 100), anxiety (n = 463), and comorbid depression and anxiety (n = 114), for a total of 8476 recorded sessions. Inferential analyses used linear mixed effects modeling to examine self-perceived improvement across demographic variables and cannabis product variables. Overall, cannabis was perceived to be efficacious across all groups, regardless of age and gender. Dried flower and oral oil were reported as the most used and most efficacious product forms. In the depression group, all strains were perceived to be efficacious and comparisons between strains revealed indica-dominant (M In terms of perceptions, individuals with depression, anxiety, and both conditions who use cannabis for insomnia report significant improvements in symptom severity after cannabis use. The current study highlights the need for placebo-controlled trials investigating symptom improvement and the safety of cannabinoids for sleep in individuals with mood and anxiety disorders. "
