,PMID,abstract
0,31693457,"For persons living with chronic conditions, health-related quality of life (HRQoL) symptoms, such as pain, anxiety, depression, and insomnia, often interact and mutually reinforce one another. There is evidence that medical cannabis (MC) may be efficacious in ameliorating such symptoms and improving HRQoL. As many of these HRQoL symptoms may mutually reinforce one another, we conducted an exploratory study to investigate how MC users perceive the efficacy of MC in addressing co-occurring HRQoL symptoms. We conducted a cross-sectional online survey of persons with a state medical marijuana card in Illinois ( "
1,39294485,"The rapidly changing policy climate related to cannabis legalization has led to drastic changes in cannabis use in the United States (US). Medical cannabis use is increasing overall, but at a faster rate among older adults compared to other age groups. The aim was to investigate older adults' cannabis use behaviors and attitudes around disclosing medical cannabis use to their primary healthcare providers (HCPs). Nineteen older adults (ages 65+ years) with self-reported medical cannabis use were recruited from flyers posted in ambulatory clinics in San Diego, CA. Surveys and semi-structured interviews on cannabis use were completed. A multi-methods approach was used to analyze data. Participants' mean age was 75.3 years; 52.6% identified as women, and 89.5% as White. Cannabis was used by all participants to treat pain and by 75% for insomnia, with 25-33% reductions in use of prescription medications to treat these symptoms. Approximately 89% reported their primary HCPs were aware of their cannabis use, and 84.2% felt very comfortable/comfortable talking to HCPs about cannabis. Common themes from interviews included participants (1) being motivated to disclose cannabis use to their HCPs to seek medical advice on dosing, side effects, and benefits of cannabis, (2) feeling comfortable disclosing cannabis use as legalization has eased the stigma around cannabis use, and (3) perceiving mostly neutral attitudes from HCPs on their cannabis use. The study emphasizes the pivotal role of HCPs as educators in addressing patient inquiries about cannabis, underlining the need for equipping healthcare professionals with evidence-based knowledge through education and training initiatives. "
2,16202145,"The New South Wales State Government recently proposed a trial of the medical use of cannabis. Australians who currently use cannabis medicinally do so illegally and without assurances of quality control. Given the dearth of local information on this issue, this study explored the experiences of medical cannabis users. Australian adults who had used cannabis for medical purposes were recruited using media stories. A total of 147 respondents were screened by phone and anonymous questionnaires were mailed, to be returned by postage paid envelope. Data were available for 128 participants. Long term and regular medical cannabis use was frequently reported for multiple medical conditions including chronic pain (57%), depression (56%), arthritis (35%), persistent nausea (27%) and weight loss (26%). Cannabis was perceived to provide ""great relief"" overall (86%), and substantial relief of specific symptoms such as pain, nausea and insomnia. It was also typically perceived as superior to other medications in terms of undesirable effects, and the extent of relief provided. However, nearly one half (41%) experienced conditions or symptoms that were not helped by its use. The most prevalent concerns related to its illegality. Participants reported strong support for their use from clinicians and family. There was almost universal interest (89%) in participating in a clinical trial of medical cannabis, and strong support (79%) for investigating alternative delivery methods. Australian medical cannabis users are risking legal ramifications, but consistent with users elsewhere, claim moderate to substantial benefits from its use in the management of their medical condition. In addition to strong public support, medical cannabis users show strong interest in clinical cannabis research, including the investigation of alternative delivery methods. "
3,12618922,"Cannabis occurs naturally in the dried flowering or fruiting tops of the Cannabis sativa plant. Cannabis is most often consumed by smoking marihuana. Cannabinoids are the active compounds extracted from cannabis. Recently, there has been renewed interest in cannabinoids for medicinal purposes. The two proven indications for the use of the synthetic cannabinoid (dronabinol) are chemotherapy-induced nausea and vomiting and AIDS-related anorexia. Other possible effects that may prove beneficial in the oncology population include analgesia, antitumor effect, mood elevation, muscle relaxation, and relief of insomnia. Two types of cannabinoid receptors, CB1 and CB2, have been detected. CB1 receptors are expressed mainly in the central and peripheral nervous system. CB2 receptors are found in certain nonneuronal tissues, particularly in the immune cells. Recent discovery of both the cannabinoid receptors and endocannabinoids has opened a new era in research on the pharmaceutical applications of cannabinoids. The use of cannabinoids should be continued in the areas indicated, and further studies are needed to evaluate other potential uses in clinical oncology. "
4,35970642,"Over the past century a dramatic decline in sleep duration among adolescents, such as more than one hour of sleep loss per night, has been reported. A debt in sleep duration could lead to sleep deprivation, a major risk factor associated with daytime sleepiness. Sleepiness refers to the inability to maintain an adequate level of alertness during the day which may result in more or less being able to control falling asleep at inappropriate times. This literature review updates on sleepiness regarding its characteristics, etiology and consequences on adolescents. Studies revealed that from 25 % to 78 % of adolescents had reported sleepiness. Its manifestations may include heavy lids, yawns, difficulties to concentrate and emotional irritability. In addition, while it is recommended that adolescents under 18 years-old should sleep from eight to ten hours a night, only 63 % of them actually do so. The etiology of sleep deprivation and sleepiness in this population can be explained by various biological and societal factors. First, the sleep-wake cycle of adolescents shows a biological shift from the beginning of pubertal maturation, described as a perfect storm. It refers to a social jetlag by going to sleep and waking up later and accumulating a sleep debt during weekdays which they try to reimburse during weekends. This phenomenon can be explained by physiological changes such as a slower accumulation of sleep pressure. In addition to this perfect storm, environmental and societal factors contribute to the social jetlag and reduce sleep duration in adolescents. Screen exposure before bedtime can delay sleep and wake onset, which is a risk factor for sleeping debt. Substance use such as caffeine, cigarettes or electronic vaporizer, ADHD or freely available medication, alcohol, cannabis use or drug consumption could further disrupt sleep-wake cycle by stimulating, depressing or otherwise disrupting the central nervous system. Early, before 8:30 am, class start times have been associated with chronic sleep deprivation, higher level of sleepiness and delayed melatonin peak secretion. Adolescents working or doing extracurricular occupations for more than 20hours a week are more at risk for reduced sleep duration and sleepiness. Parental supervision about sleep during the weekdays were associated with more appropriate bedtime. Adolescents from low socio-demographic characteristics and from minority ethnic groups have reported displaying a shorter sleep duration. Finally, sleep disorders of a physiological origin such as narcolepsy, sleep apnea or restless legs syndrome, may explain the sleep deprivation and sleepiness. Sleep deprivation and sleepiness in adolescents have consequences on their health. Cognitive functioning, such as problem solving, attention or memory, as well as school performance, can be compromised by sleep deprivation and sleepiness. At the psychological level, adolescents reporting sleepiness are more prone to display mental health problems: associations were found between sleepiness and subjective perception of depression, anxiety, somatic complaints as well as with antisocial behaviors. Finally, 68 % of 16 year-old adolescents reported they drove a car, and the reported sleepiness could lead to road accidents due to reduced attentional functioning, reaction time and decision-making abilities. In the United-States, from 7 % to 16.5 % of deadly accidents were related to driving while drowsy. Highlighting etiology and problems associated with sleep deprivation and sleepiness in adolescents could guide researchers and clinicians towards the development of possible interventions. Public health measures and knowledge transfer programs regarding modifiable psychosocial and societal factors associated with sleep-wake bioregulation could increase awareness in parents as well as in political and societal decision makers. "
5,35660222,"Improving sleep health is an important target for substance use disorder (SUD) research. However, there is little guidance for SUD researchers regarding the use of technologies to objectively assess sleep outcomes in randomized-controlled trials (RCTs). This systematic review aimed to describe the use of technologies to objectively measure sleep outcomes in RCTs conducted in persons with SUDs, in order to inform future sleep intervention studies in SUD populations. This study was registered in the International Prospective Register of Systematic Reviews (PROSPERO) on May 7th, 2020 (CRD42020182004). RCTs were reviewed here if they were peer-reviewed manuscripts that included objective measures of sleep in RCTs that sought to improve sleep in persons with SUDs. The initial search yielded 13,403 potential articles, with 27 meeting a priori criteria to be included in this review. The most common SUD was alcohol use disorder (59%). The most common technology used to assess sleep was polysomnography (41%), followed by actigraphy (37%), ambulatory polysomnography or components of polysomnography (e.g., electroencephalography; 19%), and at-home sleep apnea testing (7%). The most common sleep outcome reported was total sleep time (96%). There are a range of options to assess objective sleep outcomes. Polysomnography or ambulatory devices that directly measure brain activity are critical to advance medications through the regulatory process for the indication of improving sleep duration, continuity, and/or sleep onset latency outcomes. Actigraphy is also useful in preliminary investigations and in detecting the relationship between diurnal and SUD-related behaviors. "
6,32889833,"Cancer patients are using medical cannabis (MC) to address symptoms; however, little data exist to guide clinicians when counseling patients. We seek to define the patterns of MC use among cancer patients, as well as efficacy and safety of MC. Cancer patients attending oncology office visits at Beaumont Hospital, Michigan from July to December 2018 were anonymously surveyed. The survey included data regarding demographics, diagnosis, treatment, symptom burden, and MC use. Patients who reported MC use since their cancer diagnosis completed a section on patterns of use, efficacy, and safety. The response rate was 188 of 327 (57.5%). MC use was reported by 46 of 188 (24.5%). A median composite baseline symptom score ranging from 8 (best) to 32 (worst) was higher in patients using MC versus nonusers; 17.5 versus 14.4 (P<0.001). Pain was the symptom with the highest frequency of improvement 34/42 (81%), followed by appetite 34/44 (77.3%), and anxiety 32/44 (73%). MC improved the ability to tolerate treatment in 24/44 (54.5%). Cloudy thinking is the symptom that worsened the most 7/42 (16.7%), with decreased energy being experienced by 4/41 (9.8%) of the users. MC was utilized by a significant portion of cancer patients in this sample, across age, diagnosis, stage, and treatment. Patients with a higher severity of baseline symptoms were more likely to use MC and report a favorable efficacy profile of MC. Minimal toxicity was reported in this cohort. Prospective studies are needed to define the efficacy and safety of MC. "
7,35660223,"Sleep disturbances and disorders are a common and sometimes recalcitrant problem in persons recovering from substance use disorders (SUDs). As such, several randomized-controlled trials (RCTs) have been conducted to address sleep disturbances in a variety of SUD subpopulations and clinical scenarios. The goal of this systematic review was to collate patient-reported sleep outcomes used in past SUD-related RCTs to provide guidance for future sleep research in persons with SUDs. This systematic review was registered in the International Prospective Register of Systematic Reviews (PROSPERO) on May 7th, 2020 (CRD42020182004). Studies were included if they were peer-reviewed manuscripts describing RCTs in an SUD population. The initial search yielded 13,403 candidate articles, and 76 met a priori criteria and were included in this review. Thirty-five (46.1%) assessed sleep as a primary outcome (i.e., sleep improvement was the primary goal of the research) and 41 (53.9%) assessed sleep as a secondary outcome (i.e., sleep improvement was an important outcome, but not the primary outcome). The most commonly used measures included the Pittsburgh Sleep Quality Index, the Insomnia Severity Index, and sleep diaries. However, multiple additional sleep assessments were also used, including visual analogue and Likert scales. The field of addiction medicine would benefit from a streamlined approach in assessing patient-reported sleep in RCTs, including commonly used and validated assessments of sleep quality, inserting daily or repeated measures into RCTs, and including questionnaires that assess clinically relevant insomnia or other sleep disorders. "
8,39144529,"The legalization of cannabis in Thailand has renewed interest in its traditional medical use. This study aimed to explore the prescribing patterns of traditional practitioners and assess the impact of cannabis oil on patients' quality of life, with a specific focus on comparing outcomes between cancer and non-cancer patients. We conducted a prospective observational cohort study across 30 sites in 21 Thai provinces to analyze the use of ""Ganja Oil,"" a cannabis extract in 10% coconut oil, prescribed for symptoms like pain, anorexia, and insomnia across a diverse patient group, including cancer and migraines. Quality of life was assessed using the Edmonton Symptom Assessment Scale (ESAS) and EQ-5D-5L at baseline, 1, 2, and 3 months. The study included a predefined subgroup analysis to compare the effects on cancer versus non-cancer patients. Data management was facilitated through Research Electronic Data Capture (REDCap), with statistical analysis performed using Stata/MP. Among 21,284 participants, the mean age was 54.10 ± 15.32 years, with 52.49% being male. The baseline EQ-5D-5L index was 0.85 ± 0.24. Significant differences in EQ-5D-5L indices were seen between cancer patients (0.79 ± 0.32) and non-cancer patients (0.85 ± 0.23;  Our study indicates potential benefits of Ganja Oil for improving quality of life among Thai patients, as a complementary treatment. These findings must be viewed in light of the study's design limitations. Further controlled studies are essential to ascertain its efficacy and inform dosing guidelines. "
9,25504799,"Cannabinoids (the active constituents of Cannabis sativa) and their derivatives have got intense attention during recent years because of their extensive pharmacological properties. Cannabinoids first developed as successful agents for alleviating chemotherapy associated nausea and vomiting. Recent investigations revealed that cannabinoids have a wide range of therapeutic effects such as appetite stimulation, inhibition of nausea and emesis, suppression of chemotherapy or radiotherapy-associated bone loss, chemotherapy-induced nephrotoxicity and cardiotoxicity, pain relief, mood amelioration, and last but not the least relief from insomnia. In this exploratory review, we scrutinize the potential of cannabinoids to counteract chemotherapy-induced side effects. Moreover, some novel and yet important pharmacological aspects of cannabinoids such as antitumoral effects will be discussed. "
10,38467156,"Perceptions of cannabis as a potential medical treatment for mood and anxiety disorders have been increasing in the context of legalizations, availability, and medical cannabis programs, though current evidence predominately indicates risks and negative effects of cannabis use (CU) on mental health outcomes. This study aims to understand motivations, perceptions, effects, and patterns of CU in individuals with mood and anxiety disorders. Thirty-six adult patients diagnosed with mood or anxiety disorders, obsessive-compulsive disorder, or posttraumatic stress disorder who were currently using cannabis completed an in-depth qualitative interview on individual motivations, perceptions, experiences, effects, and patterns of their CU. The thematic analysis focused on phases of CU and sources of cannabis products and information. Reported motivations for initiation of CU included curiosity, peer pressure, and dissatisfaction with conventional treatments. Factors such as psychotropic effects and coping with mental health symptoms and insomnia contributed to the continuation of CU. More negative effects, including cognitive dysfunction, worsening of mood, and anxiety symptoms, were acknowledged with ongoing CU. Concerning findings included common initiation of CU before age 18, combined medical and recreational CU, rare consultation of medical professionals on CU, and potential effects and harms. Findings indicate individual complexity of motivations, perceptions, and patterns of CU in the study population. The reported potential beneficial effects of specific cannabis products should be further investigated. Findings emphasize patient-provider dialogue on both CU and conventional treatments. Information from this study can contribute to and inform the development of education, prevention, and intervention strategies. "
11,23095052,"  Cannabis withdrawal in heavy users is commonly followed by increased anxiety, insomnia, loss of appetite, migraine, irritability, restlessness and other physical and psychological signs. Tolerance to cannabis and cannabis withdrawal symptoms are believed to be the result of the desensitization of CB1 receptors by THC.   This report describes the case of a 19-year-old woman with cannabis withdrawal syndrome treated with cannabidiol (CBD) for 10 days. Daily symptom assessments demonstrated the absence of significant withdrawal, anxiety and dissociative symptoms during the treatment.   CBD can be effective for the treatment of cannabis withdrawal syndrome. "
12,34102934,"Marijuana use among pregnant women is on the rise in part due to the perception that marijuana may improve problems related to pregnancy such as poor sleep. This study's objective was to examine associations between marijuana use and sleep quality among a sample of women during pregnancy. The sample included women seeking prenatal care at The Ohio State University Wexner Medical Center (2010-2015). Intake assessments included medical, demographic, and socioeconomic domains, as well as the Pittsburgh Sleep Quality Index. Marijuana use during pregnancy was determined using urine screens, chart abstraction, and self-report. Women completed standardized questionnaires regarding sleep quality, depressive symptoms, anxiety, stress, and discrimination at enrollment and each subsequent trimester. A linear mixed-effect model was used to assess the relationship between sleep variables and marijuana use adjusted for maternal race, education, household income, age, marital status, depressive symptoms, anxiety, stress, discrimination, and use of tobacco and other substances during pregnancy. Women completed the sleep quality assessments for a total of 294 pregnancies, which comprise the study population. Among the study sample ( Current findings did not suggest differences in sleep quality between women who used and did not use marijuana during pregnancy. Findings are contrary to the perception that marijuana use alleviates sleep-related problems during pregnancy. Given well-documented adverse outcomes associated with prenatal marijuana exposure for children and the increase in women using marijuana during pregnancy, providers should be prepared to discuss possible harms associated with marijuana use during pregnancy as well as provide psychoeducational information and service referrals to those interested. Future studies could improve upon this design by assessing objective measures of sleep, such as actigraphy, as well as marijuana use repeatedly throughout pregnancy, which may be a more optimal strategy for illuminating potential relationships between marijuana use and sleep during pregnancy. "
13,21296508,"Sleep difficulty is a common symptom of cannabis withdrawal, but little research has objectively measured sleep or explored the effects of hypnotic medication on sleep during cannabis withdrawal. Twenty daily cannabis users completed a within-subject crossover study. Participants alternated between periods of ad libitum cannabis use and short-term cannabis abstinence (3 days). Placebo was administered at bedtime during one abstinence period (withdrawal test) and extended-release zolpidem, a non-benzodiazepine GABA(A) receptor agonist, was administered during the other. Polysomnographic (PSG) sleep architecture measures, subjective ratings, and cognitive performance effects were assessed each day. During the placebo-abstinence period, participants had decreased sleep efficiency, total sleep time, percent time spent in Stage 1 and Stage 2 sleep, REM latency and subjective sleep quality, as well as increased sleep latency and time spent in REM sleep compared with when they were using cannabis. Zolpidem attenuated the effects of abstinence on sleep architecture and normalized sleep efficiency scores, but had no effect on sleep latency. Zolpidem was not associated with any significant side effects or next-day cognitive performance impairments. These data extend prior research that indicates abrupt abstinence from cannabis can lead to clinically significant sleep disruption in daily users. The findings also indicate that sleep disruption associated with cannabis withdrawal can be attenuated by zolpidem, suggesting that hypnotic medications might be useful adjunct pharmacotherapies in the treatment of cannabis use disorders. "
14,16083966,"The National Institute on Drug Abuse has funded a medications program that has concentrated on the development of medications for opiate and cocaine dependence. Levomethadyl acetate (LAAM) and buprenorphine and buprenorphine/naloxone sublingual tablets were developed in conjunction with pharmaceutical partners and approved by the Food and Drug Administration. The remaining challenges for medications development for opiate dependence involves Phase IV studies in special populations, for example, pregnant opiate-dependent patients, and to translate neuroscience-based findings into treatments. Several marketed medications have shown initial efficacy to reduce cocaine use in well-controlled clinical trials. Disulfiram has been shown to reduce cocaine use in several clinical trials, while baclofen, modafinil, naltrexone, ondansetron, tiagabine, and topiramate have shown preliminary efficacy in initial clinical studies. Confirmatory studies of many of these medications is underway. More recently, the NIDA medications program has evaluated medications for their ability to reduce methamphetamine use. To date, no medications tested have shown efficacy to reduce methamphetamine use. Both marketed medications and investigational agents will be tested. Finally, NIDA has begun to test medications for efficacy to reduce cannabis use. Initial studies are underway. Both agonist and antagonist approaches will be evaluated. Additionally, medications will be tested in cannabis-dependent patients for the management of insomnia, withdrawal, and concurrent depression. "
15,36503404,"The current paucity of clinical evidence limits the use of cannabis-based medicinal products (CBMPs) in post-traumatic stress disorder (PTSD). This study investigates health-related quality of life (HRQoL) changes and adverse events in patients prescribed CBMPs for PTSD. A case-series of patients from the UK Medical Cannabis Registry was analyzed. HRQoL was assessed at 1-, 3-, and 6-months using validated patient reported outcome measures (PROMs). Adverse events were analyzed according to the Common Terminology Criteria for Adverse Events version 4.0. Statistical significance was defined as p < 0.050. Of 162 included patients, 88.89% (n = 144) were current/previous cannabis users. Median daily CBMP dosages were 5.00 (IQR: 0.00-70.00) mg of cannabidiol and 145.00 (IQR: 100.00-200.00) mg of Δ9-tetrahydrocannabinol. Significant improvements were observed in PTSD symptoms, sleep, and anxiety across all follow-up periods (p < 0.050). There were 220 (135.8%) adverse events reported by 33 patients (20.37%), with the majority graded mild or moderate in severity (n = 190, 117.28%). Insomnia and fatigue had the greatest incidence (n = 20, 12.35%). Associated improvements in HRQoL were observed in patients who initiated CBMP therapy. Adverse events analysis suggests acceptability and safety up to 6 months. This study may inform randomized placebo-controlled trials, required to confirm causality and determine optimal dosing. "
16,19874164,"The present study investigated aspects of sleep quality in ecstasy and cannabis users. Two-hundred and twenty seven participants (117 ecstasy/polydrug users, 53 cannabis users and 57 drug naive participants) took part. The participants completed measures of daytime sleepiness, and indicators of sleep quality. The results demonstrated that ecstasy/polydrug users viewed themselves as being more evening types and having poorer sleep quality than cannabis users and drug naive participants. They were also more likely to have missed a night's sleep. The reported differences in sleep type may reflect ecstasy-related serotonergic dysfunction resulting in problems with shifting circadian rhythms. "
17,24474865,"Cannabis is one of the most widely used illicit drugs worldwide. However, while the rates of cannabis dependence and treatment increase, there remains no medications approved for this use. Due to its sedative effects and low abuse liability, the typical antipsychotic pericyazine has been utilized in some parts of Australia for the treatment of cannabis dependence. We aimed to provide documentation of preliminary outcomes and acceptability of pericyazine treatment in a small sample. A naturalistic case series study was conducted in which 21 patients were enrolled for a 4-week course of pericyazine (up to 8 × 2.5 mg tablets daily) and weekly medical review. Levels of cannabis use were reported and side effects with electrocardiography and blood tests were monitored. Measures of dependence severity, depression, anxiety, and insomnia were taken at baseline and follow-up utilizing validated psychometric tools. Significant reductions in cannabis use, depression, anxiety, and insomnia severity occurred across time. Pericyazine appeared to be well tolerated and easily administered in the community clinics. The results provide some preliminary evidence that low-dose short-term pericyazine may be an acceptable mode of treatment in this population. Given the open-label nature of the design, we cannot conclude that pharmacotherapy was uniquely responsible for the treatment effect. Nonetheless, low-dose pericyazine may be a potentially effective approach to the treatment of cannabis dependence, and further evaluation via a randomized placebo-controlled trial is warranted. "
18,39196883,"Drugs have actions that may be classified as therapeutic effects and side effects; side effects are actions that do not contribute to therapeutic benefit. Some side effects are neutral; others, experienced as undesirable or unpleasant, are recorded as adverse effects. Some drug actions are therapeutic for some disorders and adverse for others; or therapeutic during acute illness and adverse during maintenance treatment. As an example, anticholinergic action may be adverse when a tricyclic antidepressant is used to treat depression but therapeutic when the drug is used to treat irritable bowel syndrome with diarrhea. In clinical practice, side or adverse effects of a drug may be leveraged to manage troublesome symptoms. As an example, the sedative effect of a low dose of trazodone may be useful for some patients with insomnia. With this background, studies have examined whether the increase in appetite and weight associated with olanzapine and mirtazapine may be effective against anorexia and cachexia associated with cancer and cancer chemotherapy. The subject is important because cachexia may be present in 30%-50% of patients with cancer (with higher prevalence in patients with more advanced cancer) and because the presence of cachexia is associated with a higher risk of disease progression and mortality. Many randomized controlled trials (RCTs) have examined pharmacologic interventions such as progestins, corticosteroids, anamorelin, and medical cannabis for cancer related cachexia; most results have been disappointing. A recent RCT found that olanzapine (2.5 mg/d for 12 weeks) improved appetite, weight, other nutritional parameters, and quality of life in patients with locally advanced or metastatic cancer treated with chemotherapy. Another RCT, however, found that mirtazapine (30 mg/d for 8 weeks) brought no nutritional or anthropometric gain in patients with cancer and anorexia. It is concluded that olanzapine but not mirtazapine merits further investigation in patients with cancer who have anorexia and cachexia. "
19,24726015,"This paper reviews the literature regarding the effects of cannabinoid administration on sleep in humans. A literature search using a set of cannabinoid and sleep-related terms was conducted across eight electronic databases. Human studies that involved the administration of cannabinoids and at least one quantitative sleep-related measure were included. Review papers, opinion pieces, letters or editorials, case studies (final N < 7), published abstracts, posters, and non-English papers were excluded. Thirty-nine publications were included in the review. Findings were mixed and showed various effects of cannabinoid administration on several aspects of sleep. Methodological issues in the majority of studies to date, however, preclude any definitive conclusion. "
20,20735884,"Paranoia is an unregarded but pervasive attribute of human populations. In this study we carried out the most comprehensive investigation so far of the demographic, economic, social and clinical correlates of self-reported paranoia in the general population. Data weighted to be nationally representative were analysed from the Adult Psychiatric Morbidity Survey in England (APMS 2007; n=7281). The prevalence of paranoid thinking in the previous year ranged from 18.6% reporting that people were against them, to 1.8% reporting potential plots to cause them serious harm. At all levels, paranoia was associated with youth, lower intellectual functioning, being single, poverty, poor physical health, poor social functioning, less perceived social support, stress at work, less social cohesion, less calmness, less happiness, suicidal ideation, a great range of other psychiatric symptoms (including anxiety, worry, phobias, post-traumatic stress and insomnia), cannabis use, problem drinking and increased use of treatment and services. Overall, the results indicate that paranoia has the widest of implications for health, emotional well-being, social functioning and social inclusion. Some of these concomitants may contribute to the emergence of paranoid thinking, while others may result from it. "
21,34290290,"Cigarette smoking is a modifiable behaviour associated with mental health. We investigated the degree of genetic overlap between smoking behaviours and psychiatric traits and disorders, and whether genetic associations exist beyond genetic influences shared with confounding variables (cannabis and alcohol use, risk-taking and insomnia). Second, we investigated the presence of causal associations between smoking initiation and psychiatric traits and disorders. We found significant genetic correlations between smoking and psychiatric disorders and adult psychotic experiences. When genetic influences on known covariates were controlled for, genetic associations between most smoking behaviours and schizophrenia and depression endured (but not with bipolar disorder or most psychotic experiences). Mendelian randomization results supported a causal role of smoking initiation on psychiatric disorders and adolescent cognitive and negative psychotic experiences, although not consistently across all sensitivity analyses. In conclusion, smoking and psychiatric disorders share genetic influences that cannot be attributed to covariates such as risk-taking, insomnia or other substance use. As such, there may be some common genetic pathways underlying smoking and psychiatric disorders. In addition, smoking may play a causal role in vulnerability for mental illness. "
22,26285109,"Sleep disturbance is a hallmark feature of cannabis withdrawal. In this study we explored the effects of lithium treatment supplemented with nitrazepam on objective and subjective measures of sleep quality during inpatient cannabis withdrawal. Treatment-seeking cannabis-dependent adults (n = 38) were admitted for 8 days to an inpatient withdrawal unit and randomized to either oral lithium (500 mg) or placebo, twice daily in a double-blind RCT. Restricted nitrazepam (10 mg) was available on demand (in response to poor sleep) on any 3 of the 7 nights. Dependent outcome measures for analysis included repeated daily objective actigraphy and subjective sleep measures throughout the 8 day detox, subjective cannabis withdrawal ratings, and detoxification completion rates. Based on actigraphy, lithium resulted in less fragmented sleep compared to placebo (p = 0.04), but no other objective measures were improved by lithium. Of the subjective measures, only nightmares were suppressed by lithium (p = 0.04). Lithium did not have a significant impact on the use of nitrazepam. Sleep bout length (p < 0.0001), sleep efficiency (p < 0.0001), and sleep fragmentation (p = 0.05) were improved on nights in which nitrazepam was used. In contrast, only night sweats improved with nitrazepam from the subjective measures (p = 0.04). A Cox regression with daily repeated measures of sleep efficiency averaged across all people in the study a predictor suggests that a one-unit increase in sleep efficiency (the ratio of total sleep time to the total time in bed expressed as a percentage) resulted in a 14.6% increase in retention in treatment (p = 0.008, Exp(B) = 0.854, 95% CI = 0.759-0.960). None of the other sleep measures, nor use of lithium or nitrazepam were significantly associated with retention in treatment. Lithium seems to have only limited efficacy on sleep disturbance in cannabis withdrawal. However the nitrazepam improved several actigraphy measures of sleep disturbance, warranting further investigation. Discord between objective and subjective sleep indices suggest caution in evaluating treatment interventions with self-report sleep data only. "
