,PMID,abstract
0,26962941,"Lentiviruses have a long-documented association with macrophages. Abundant evidence exists for in vitro and, in a tissue-specific manner, in vivo infection of macrophages by the primate lentiviruses HIV-1 and SIV. However, macrophage contribution to aspects of HIV-1 and SIV pathogenesis, and their role in viral persistence in individuals on suppressive antiretroviral therapy, remains unclear. Here we discuss recent evidence implicating macrophages in HIV-1-mediated disease and highlight directions for further investigation. "
1,31175817,
2,22415473,"A substantial proportion of HIV-1 infected individuals in sub-Saharan Africa are in stable relationships with HIV-1 uninfected partners, and HIV-1 serodiscordant couples thus represent an important target population for HIV-1 prevention. Couple-based HIV-1 testing and counseling facilitates identification of HIV-1 serodiscordant couples, counseling about risk reduction, and referrals to HIV-1 treatment, reproductive health services, and support services. Maximizing HIV-1 prevention for HIV-1 serodiscordant couples requires a combination of strategies, including counseling about condoms, sexual risk, fertility, contraception, and the clinical and prevention benefits of antiretroviral therapy (ART) for the HIV-1-infected partner; provision of clinical care and ART for the HIV-1-infected partner; antenatal care and services to prevent mother-to-child transmission for HIV-1-infected pregnant women; male circumcision for HIV-1-uninfected men; and, pending guidelines and demonstration projects, oral pre-exposure prophylaxis (PrEP) for HIV-1-uninfected partners. "
3,26613994,"Behavioral disorders are common in persons infected with human immunodeficiency virus (HIV). The differential includes preexisting psychiatric diseases, substance abuse, direct effects of HIV infection, opportunistic infection, and the adverse effects of medical therapies. Many patients have more than one contributing or comorbid problem to explain these behavioral changes. The differential should always include consideration of psychosocial, genetic, and medical causes of disease. Treatment strategies must take into account the coadministration of antiretroviral therapy and the specific neurologic problems common in patients infected with HIV. "
4,27447446,"HIV has a very limited species tropism that prevents the use of most conventional small animal models for AIDS research. The in vivo analysis of HIV/AIDS has benefited extensively from novel chimeric animal models that accurately recapitulate key aspects of the human condition. Specifically, immunodeficient mice that are systemically repopulated with human hematolymphoid cells offer a viable alternative for the study of a multitude of highly relevant aspects of HIV replication, pathogenesis, therapy, transmission, prevention, and eradication. This article summarizes some of the multiple contributions that humanized mouse models of HIV infection have made to the field of AIDS research. These models have proven to be highly informative and hold great potential for accelerating multiple aspects of HIV research in the future. "
5,25304006,"Optimal adherence to antiretroviral therapy (ART) is central to achieving viral suppression and positive health outcomes in HIV-infected individuals. Virally suppressed individuals can also reduce the risk of HIV transmission to uninfected partners. Hence, adherence to ART has become both an HIV treatment and an HIV prevention strategy. However, achieving optimal ART adherence can be challenging, especially over the long term. It is increasingly important for clinicians and researchers to be abreast of the most recent developments in the field as new biomedical approaches to treatment emerge and as guidelines for the use of pre-exposure prophylaxis (PrEP) are disseminated to providers serving HIV affected populations. Several reviews have described numerous ART adherence interventions that have been developed and/or tested with the most recent review including literature up to 2012. To augment the literature, we present a review of ART adherence interventions from 2013 to the present. We included peer-reviewed journals as well as abstracts from two key conferences. "
6,37952550,"Injectable cabotegravir was superior to daily oral tenofovir disoproxil fumarate plus emtricitabine for HIV prevention in two clinical trials. Both trials had the primary aim of establishing the HIV prevention efficacy of long-acting injectable cabotegravir pre-exposure prophylaxis (PrEP) compared with tenofovir disoproxil fumarate plus emtricitabine daily oral PrEP. Long-acting PrEP was associated with diagnostic delays and integrase strand-transfer inhibitor (INSTI) resistance. This report presents findings from the first unblinded year of the HIV Prevention Trials Network (HPTN) 083 study. The HPTN 083 randomised controlled trial enrolled HIV-uninfected cisgender men and transgender women at elevated HIV risk who have sex with men, from 43 clinical research sites in Africa, Asia, Latin America, and the USA. Inclusion criteria included: a negative HIV serological test at the screening and study entry, undetectable HIV RNA levels within 14 days of study entry, age 18 years or older, overall good health as determined by clinical and laboratory evaluations, and a creatinine clearance of 60 mL/min or higher. Participants were randomly allocated to receive long-acting injectable cabotegravir or daily oral tenofovir disoproxil fumarate plus emtricitabine PrEP. After study unblinding, participants remained on their original regimen awaiting an extension study. HIV infections were characterised retrospectively at a central laboratory. Here we report the secondary analysis of efficacy and safety for the first unblinded year. The primary outcome was incident HIV infection. Efficacy analyses were done on the modified intention-to-treat population using a Cox regression model. Adverse events were compared across treatment groups and time periods (blinded vs unblinded). This trial is registered with ClinicalTrials.gov, NCT02720094. Of the 4488 participants who contributed person-time to the blinded analysis, 3290 contributed person-time to the first unblinded year analysis between May 15, 2020, and May 14, 2021. Updated HIV incidence in the blinded phase was 0·41 per 100 person-years for long-acting injectable cabotegravir PrEP and 1·29 per 100 person-years for daily oral tenofovir disoproxil fumarate plus emtricitabine PrEP (hazard ratio [HR] 0·31 [95% CI 0·17-0·58], p=0·0003). HIV incidence in the first unblinded year was 0·82 per 100 person-years for long-acting PrEP and 2·27 per 100 person-years for daily oral PrEP (HR 0·35 [0·18-0·69], p=0·002). Adherence to both study products decreased after study unblinding. Additional infections in the long-acting PrEP group included two with on-time injections; three with one or more delayed injections; two detected with long-acting PrEP reinitiation; and 11 more than 6 months after their last injection. Infection within 6 months of cabotegravir exposure was associated with diagnostic delays and INSTI resistance. Adverse events were generally consistent with previous reports; incident hypertension in the long-acting PrEP group requires further investigation. Long-acting injectable cabotegravir PrEP retained high efficacy for HIV prevention in men and transgender women who have sex with men during the first year of open-label follow-up, with a near-identical HR for HIV risk reduction between long-acting injectable cabotegravir and daily oral tenofovir disoproxil fumarate plus emtricitabine PrEP during the first year after unblinding compared with the blinded period. Extended follow-up further defined the risk period for diagnostic delays and emergence of INSTI resistance. Division of AIDS at the National Institute of Allergy and Infectious Diseases, ViiV Healthcare, and Gilead Sciences. "
7,32992787,"Most myeloid lineage cells express the receptor and coreceptors that make them susceptible to infection by primate lentiviruses (SIVs and HIVs). However, macrophages are the only myeloid lineage cell commonly infected by SIVs and/or HIVs. The frequency of infected macrophages varies greatly across specific host and virus combinations as well as disease states, with infection rates being greatest in pathogenic SIV infections of non-natural hosts (i.e., Asian nonhuman primates (Asian NHPs)) and late in untreated HIV-1 infection. In contrast, macrophages from natural SIV hosts (i.e., African NHPs) are largely resistant to infection due to entry and/or post-entry restriction mechanisms. These highly variable rates of macrophage infection may stem from differences in the host immune environment, entry and post-entry restriction mechanisms, the ability of a virus to adapt to efficiently infect macrophages, and the pleiotropic effects of macrophage-tropism including the ability to infect cells lacking CD4 and increased neutralization sensitivity. Questions remain about the relationship between rates of macrophage infection and viral pathogenesis, with some evidence suggesting that elevated levels of macrophage infection may contribute to greater pathogenesis in non-natural SIV hosts. Alternatively, extensive infection of macrophages may only emerge in the context of high viral loads and immunodeficiency, making it a symptom of highly pathogenic infections, not a primary driver of pathogenesis. "
8,28615975,"There are ~900,000 new HIV infections among women every year, representing nearly half of all new HIV infections globally. In the US, nearly one-fifth of all new HIV infections occur among women, and women from racial and ethnic minority communities experience disproportionately high rates of new HIV infections. Thus, there is a need to develop and implement effective HIV prevention strategies for women in the US and internationally, with a specific need to advance strategies in minority communities. Previous studies have demonstrated that oral HIV pre-exposure prophylaxis (PrEP), the use of antiretroviral medications by HIV-uninfected persons to prevent HIV acquisition, can reduce HIV incidence among women who are adherent to PrEP. However, to date, awareness and uptake of PrEP among women have been very limited, suggesting a need for innovative strategies to increase the knowledge of and access to PrEP among women in diverse settings. This narrative review summarizes the efficacy and safety data of PrEP in women, discusses considerations related to medication adherence for women who use PrEP, and highlights behavioral, social, and structural barriers to maximize the effectiveness of PrEP in women. It also reviews novel modalities for PrEP in women which are being developed and tested, including topical formulations and long-acting injectable agents that may offer advantages as compared to oral PrEP and proposes a community-oriented, social networking framework to increase awareness of PrEP among women. If women are provided with access to PrEP and support to overcome social and structural barriers to adhere to PrEP, this prevention strategy holds great promise to impact the HIV epidemic among women in the US and globally. "
9,11268377,
10,28886986,"Neuron-Glia crosstalk is essential for efficient synaptic communication, cell growth and differentiation, neuronal activity, neurotransmitter recycling, and brain immune response. The master regulators of this neuron-glia communication are connexin containing Gap Junctions (GJs) and Hemichannels (HCs) as well as pannexin HCs. However, the role of these channels under pathological conditions, especially in infectious diseases is still in exploratory stages. Human Immunodeficiency Virus-1 (HIV) is one such infectious agent that takes advantage of the host intercellular communication systems, GJs and HCs, to exacerbate viral pathogenesis in the brain in spite of the antiretroviral therapy effectively controlling viral replication in the periphery. Although most infectious agents lead to total ""shutdown"" of gap junctional communication in parenchymal cells, HIV infection maintains and ""hijacks"" GJs and HCs to enable few infected cells to spread toxic intracellular agents to neighboring uninfected cells aggravating viral neuropathology even in the absence of viral replication. In this mini-review, we present a comprehensive overview of the role of GJs and HCs in augmenting HIV neuropathogenesis. "
11,23073703,"The efficacy of HIV pre-exposure prophylaxis (PrEP) has been demonstrated in four clinical trials to date; however, the success of PrEP is largely dependent on high levels of medication adherence. Due to their extensive experience and expertise in medication adherence counseling, as well as their ability to monitor and manage medication adverse effects and drug-drug interactions, clinical pharmacists are well-equipped to play a key role in effective PrEP utilization. Here we discuss reasons favoring the establishment of a protocol-based, pharmacist-run PrEP clinic. "
12,27122594,
13,33128874,Pre-exposure prophylaxis (PrEP) is highly effective in reducing HIV transmission but remains underutilised globally. Same-day PrEP prescribing and medication provision is an emerging implementation approach. The experiences of the three same-day PrEP programmes support the feasibility of the approach. Key elements of safe and effective same-day PrEP programmes include the ability to order laboratory tests at the time of the clinical visit and the ability to contact patients when laboratory results are available. Same-day PrEP has the potential to alleviate the attrition seen in usual care between initial evaluation and receipt of a PrEP prescription. A widespread application of same-day prescribing will be needed to assess its effect on PrEP usage. 
14,34949264,
15,35126374,"Globally, human immunodeficiency virus type 1 (HIV-1) infection is a major health burden for which successful therapeutic options are still being investigated. Challenges facing current drugs that are part of the established life-long antiretroviral therapy (ART) include toxicity, development of drug resistant HIV-1 strains, the cost of treatment, and the inability to eradicate the provirus from infected cells. For these reasons, novel anti-HIV-1 therapeutics that can prevent or eliminate disease progression including the onset of the acquired immunodeficiency syndrome (AIDS) are needed. While development of HIV-1 vaccination has also been challenging, recent advancements demonstrate that infection of HIV-1-susceptible cells can be prevented in individuals living with HIV-1, by targeting C-C chemokine receptor type 5 (CCR5). CCR5 serves many functions in the human immune response and is a co-receptor utilized by HIV-1 for entry into immune cells. Therapeutics targeting CCR5 generally involve gene editing techniques including CRISPR, CCR5 blockade using antibodies or antagonists, or combinations of both. Here we review the efficacy of these approaches and discuss the potential of their use in the clinic as novel ART-independent therapies for HIV-1 infection. "
16,26103095,"Clinical trial data have shown that oral pre-exposure prophylaxis (PrEP) is efficacious when taken as prescribed; however, PrEP adherence is complex and must be understood within the context of variable risk for HIV infection and use of other HIV prevention methods. Different levels of adherence may be needed in different populations to achieve HIV prevention, and the optimal methods for achieving the necessary adherence for both individual and public health benefits are unknown. Guidance for PrEP use must consider these questions to determine the success of PrEP-based HIV prevention programs. In this article, we propose a new paradigm for understanding and measuring PrEP adherence, termed prevention-effective adherence, which incorporates dynamic HIV acquisition risk behaviors and the use of HIV alternative prevention strategies. We discuss the need for daily PrEP use only during periods of risk for HIV exposure, describe key issues for measuring and understanding relevant behaviors, review lessons from another health prevention field (i.e., family planning), and provide guidance for prevention-effective PrEP use. Moreover, we challenge emerging calls for sustained, near perfect PrEP adherence regardless of risk exposure and offer a more practical and public health-focused vision for this prevention intervention. "
17,34452331,"Human immunodeficiency virus (HIV)-1 and HIV-2 originated from cross-species transmission of simian immunodeficiency viruses (SIVs). Most of these transfers resulted in limited spread of these viruses to humans. However, one transmission event involving SIVcpz from chimpanzees gave rise to group M HIV-1, with M being the principal strain of HIV-1 responsible for the AIDS pandemic. Vpu is an HIV-1 accessory protein generated from  "
18,37698802,"Medical mistrust is fueled by conspiracy theories and histories of healthcare systems abuse and is a known determinant of health outcomes in minority populations. Plagued by multiple and pervasive conspiracy theories, HIV/AIDS has proven to be particularly hampered by medical mistrust. The current paper systematically reviews the literature on medical mistrust among people at risk for or living with HIV infection. The bulk of evidence from 17 studies supports medical mistrust as a barrier to HIV testing, engagement in prevention and care services, treatment uptake and adherence, and clinical outcomes. While findings mostly indicate that medical mistrust is a barrier to HIV prevention and care, some studies report null results and others suggest that medical mistrust may actually improve some HIV-related outcomes. Additionally, most of the reviewed literature was cross-sectional. Thus longitudinal, theory-driven research is needed to reconcile inconsistent findings and determine long term outcomes of medical mistrust. Interventions may then be developed to reduce the negative consequences associated with medical mistrust. "
19,34191532,
20,26793265,"Pre-Exposure Prophylaxis (PrEP) has shown high efficacy in preventing human immunodeficiency virus (HIV) infection among men who have sex with men (MSM) in several large clinical trials, and more recently in ""real world"" reports of clinical implementation and a PrEP demonstration project. Those studies also demonstrated high bacterial sexually transmitted infection (STI) incidence and raised the discussion of how PrEP may impact STI control efforts, especially in the setting of increasing Neisseria gonorrhoeae antimicrobial resistance and the increase in syphilis cases among MSM. Here, we discuss STIs as a driver of HIV transmission risk among MSM, and the potential opportunities and challenges for STI control afforded by expanded PrEP implementation among high-risk MSM. "
21,31800270,
22,31965523,"Based on the results of the IPERGAY study, on-demand HIV pre-exposure prophylaxis (PrEP; also known as ""non-daily PrEP,"" ""event-driven PrEP,"" or ""2-1-1 PrEP"") is being requested more frequently by patients who have intermittent sexual risk or are unable/unwilling to take daily PrEP; therefore, clinicians will be increasingly required to familiarize themselves with its appropriate use. In this perspective, we summarize data related to on-demand PrEP, describe advantages and disadvantages for this alternative dosing strategy, and provide clinical counseling points. "
