,PMID,abstract
0,37490085,"The large overlap between symptoms of acute sinusitis and viral upper respiratory tract infection suggests that certain subgroups of children being diagnosed with acute sinusitis, and subsequently treated with antibiotics, derive little benefit from antibiotic use. To assess if antibiotic therapy could be appropriately withheld in prespecified subgroups. Randomized clinical trial including 515 children aged 2 to 11 years diagnosed with acute sinusitis based on clinical criteria. The trial was conducted between February 2016 and April 2022 at primary care offices affiliated with 6 US institutions and was designed to evaluate whether symptom burden differed in subgroups defined by nasopharyngeal Streptococcus pneumoniae, Haemophilus influenzae, or Moraxella catarrhalis on bacterial culture and by the presence of colored nasal discharge. Oral amoxicillin (90 mg/kg/d) and clavulanate (6.4 mg/kg/d) (n = 254) or placebo (n = 256) for 10 days. The primary outcome was symptom burden based on daily symptom scores on a validated scale (range, 0-40) during the 10 days after diagnosis. Secondary outcomes included treatment failure, adverse events including clinically significant diarrhea, and resource use by families. Most of the 510 included children were aged 2 to 5 years (64%), male (54%), White (52%), and not Hispanic (89%). The mean symptom scores were significantly lower in children in the amoxicillin and clavulanate group (9.04 [95% CI, 8.71 to 9.37]) compared with those in the placebo group (10.60 [95% CI, 10.27 to 10.93]) (between-group difference, -1.69 [95% CI, -2.07 to -1.31]). The length of time to symptom resolution was significantly lower for children in the antibiotic group (7.0 days) than in the placebo group (9.0 days) (P = .003). Children without nasopharyngeal pathogens detected did not benefit from antibiotic treatment as much as those with pathogens detected; the between-group difference in mean symptom scores was -0.88 (95% CI, -1.63 to -0.12) in those without pathogens detected compared with -1.95 (95% CI, -2.40 to -1.51) in those with pathogens detected. Efficacy did not differ significantly according to whether colored nasal discharge was present (the between-group difference was -1.62 [95% CI, -2.09 to -1.16] for colored nasal discharge vs -1.70 [95% CI, -2.38 to -1.03] for clear nasal discharge; P = .52 for the interaction between treatment group and the presence of colored nasal discharge). In children with acute sinusitis, antibiotic treatment had minimal benefit for those without nasopharyngeal bacterial pathogens on presentation, and its effects did not depend on the color of nasal discharge. Testing for specific bacteria on presentation may represent a strategy to reduce antibiotic use in this condition. ClinicalTrials.gov Identifier: NCT02554383. "
1,35913365,"Previous research has underscored a need to understand the experiences and decision-making processes that contribute to suspension and expulsion in early care and education settings, particularly among young children of color. The present study conducted qualitative interviews with 20 center- and family-based childcare providers from the Minnesota Early Care and Education (MECE) study. Participants were asked about challenging child behaviors that they have encountered, their perceptions of these behaviors and how they manage them, and their thought processes around suspension and expulsion. Overall, the most frequently reported categories of challenging behaviors were physical aggression and noncompliance/defiance/arguing. The most commonly reported perceived causes of challenging behaviors were typical child development and parenting problems. The primary reported strategy for addressing challenging behaviors was connecting with the child, with relatively few providers reporting using other evidence-based strategies. Finally, the most commonly reported reasons for considering suspension or expulsion were the providers feeling they had exhausted options and could not meet the child's needs, and the child's behavior being perceived as dangerous to self or others. Implications for future research and practice (including increased support services for childcare providers) are discussed. La investigación previa ha subrayado una necesidad de comprender las experiencias y los procesos de toma de decisiones que contribuyen a la suspensión y expulsión en centros de tempranos cuidados y educación, particularmente entre niños pequeños de color. El presente estudio llevó a cabo entrevistas cualitativas con 20 proveedores de cuidado infantil con base en el centro y en la familia, del estudio Tempranos Cuidados y Educación en Minnesota (MECE). A los participantes se les preguntó acerca de los retos enfrentados en cuanto al comportamiento de los niños, sus percepciones de estos comportamientos y cómo los manejaron, así como los procesos de pensamiento sobre la suspensión y expulsión. En términos generales, las categorías más frecuentemente reportadas de comportamientos desafiantes fueron la agresión física y la desobediencia/desafío/discusión. Las más comúnmente reportadas causas percibidas de comportamientos desafiantes fueron el típico desarrollo del niño y problemas de crianza. La estrategia primariamente reportada para hablar de y dirigir los comportamientos desafiantes fue la conexión con el niño, con relativamente pocos proveedores que reportaron el uso de otra estrategia con base en la evidencia. Finalmente, las razones más comúnmente reportadas en cuanto a considerar la suspensión o la expulsión fueron el instinto del proveedor de haber agotado las opciones y el no haber podido satisfacer las necesidades del niño, así como la percepción de que el comportamiento del niño era peligroso para el propio niño y otros. Se discuten las implicaciones para la futura investigación (incluyendo el aumento de servicios de apoyo para proveedores del cuidado infantil). Les recherches précédentes ont souligné un besoin de comprendre les expériences et les processus décisionnels qui contribuent à la suspension et à l'expulsion dans les contextes de la crèche ou de l’éducation, particulièrement chez les jeunes enfants racialisés / de couleur. Cette étude a procédé à des entretiens qualitatifs avec 20 prestataires de service de garde d'enfants (centres ou crèches et prestataires à domicile) de l’étude des Soins Précoces et de l'Education (abrégé MECE) dans l’état du Minnesota aux Etats-Unis. Les participants ont répondu à des questions sur les comportements difficiles de l'enfant auxquels ils ont fait face, leurs perceptions de ces comportements et la manière dont ils les ont gérés, et leurs processus de réflexion au sujet de la suspension et de l'expulsion. Dans l'ensemble les catégories les plus fréquemment rapportées de comportements difficiles étaient l'agression physique et le non-respect, la défiance et la dispute. Les causes perçues de comportements difficiles les plus fréquemment rapportées étaient les problèmes typiques de comportement de l'enfant et de parentage. La stratégie la plus rapportée pour faire face aux comportements difficiles était de communiquer avec l'enfant, avec relativement peu de prestataires utilisant d'autres stratégies fondées sur des données probantes. Enfant, les raisons les plus communément rapportées quant à la considération de la suspension ou de l'expulsion étaient que les prestataires sentaient qu'ils avaient épuisé les options et ne pouvaient pas répondre aux besoins de l'enfant et que le comportement de l'enfant était perçu comme dangereux pour lui / elle ou les autres. Les implications pour les recherches et la pratique futures (y compris l'augmentation de services de soutien pour les prestataires de garde d'enfant) sont discutées. Die Sicht von Kinderbetreuungseinrichtungen auf problematisches Verhalten von Kindern, Suspendierung und Ausschluss: Eine qualitative Analyse Frühere Forschungsarbeiten haben die Notwendigkeit betont, die Erfahrungen und Entscheidungsprozesse zu verstehen, die zur Suspendierung und zum Ausschluss von Kindern aus der Frühbetreuung/ -erziehung beitragen, insbesondere bei Kleinkindern of Color. In der vorliegenden Studie wurden mit 20 Anbietern von Kinderbetreuungseinrichtungen und Familienbetreuungseinrichtungen aus der Minnesota Early Care and Education (MECE) Studie qualitative Interviews durchgeführt. Die Teilnehmenden wurden zu herausfordernden Verhaltensweisen von Kindern befragt, mit denen sie konfrontiert wurden, zu ihrer Wahrnehmung dieser Verhaltensweisen, zu ihrer Art, damit umzugehen, und zu ihren Denkprozessen bezüglich Suspendierung und Ausschluss. Insgesamt waren die am häufigsten genannten Kategorien herausfordernder Verhaltensweisen körperliche Aggression und Ungehorsam/Trotz/Streit. Die am häufigsten genannten Ursachen für herausforderndes Verhalten waren typische kindliche Entwicklungsprozesse und Erziehungsprobleme bei den Eltern. Die am häufigsten genannte Strategie zur Bewältigung schwieriger Verhaltensweisen war die Kontaktaufnahme mit dem Kind. Nur relativ wenige Anbieter gaben an, andere evidenzbasierte Strategien zu verwenden. Die am häufigsten genannten Gründe für eine Suspendierung oder einen Ausschluss waren schließlich, wenn die Anbieter das Gefühl hatten, alle Möglichkeiten ausgeschöpft zu haben und den Bedürfnissen des Kindes nicht gerecht werden zu können. Ein weiterer häufig genannter Grund war, wenn das Verhalten des Kindes als selbst- oder fremdgefährdend eingeschätzt wurde. Implikationen für zukünftige Forschung und Praxis (einschließlich verstärkter Unterstützungsangebote für Anbieter von Kinderbetreuungseinrichtungen) werden diskutiert. 子どもの挑戦的行動と停学、退学に関する保育者の見解:定性的分析 これまでの研究で、特に有色人種の幼児において、早期ケアや教育の現場における停学や退学の原因となる経験や意思決定過程を理解する必要性が強調されてきた。本研究では、ミネソタ州早期ケアと教育 (MECE) 研究における施設保育者および在宅保育者20名に対して定性的面接を行った。参加者は、これまでに遭遇した子どもの挑発的行動、これらの行動に対する認知、どのように対処したか、そして停学や退学に関連する思考過程について質問された。全体として、最も頻繁に報告された挑戦的行動の領域は、身体的な攻撃性と不従順/反抗的/論争的であった。挑戦的行動の原因として最もよく報告されたのは、典型的な子どもの発達と子育ての問題であった。挑戦的行動に対処するための主な戦略は、子どもと関係をつくることであり、他のエビデンスに基づいた戦略を用いることを報告した保育者は比較的少数であった。最後に、停学や退学を検討する理由として最も多く報告されたのは、選択肢を使い果たし、子どものニーズに応えられないと保育者が感じたこと、子どもの行動が自分や他人にとって危険であると認識されたことであった。今後の研究と実践への示唆 (保育者への支援サービスの充実など) を述べる。. 前的研究强调, 在早期护理和教育机构中, 需要了解导致停学和开除 (特别是在有色人种的幼儿中) 的经验与决策过程。本研究对来自“明尼苏达州早期护理和教育”(MECE) 研究项目的20个中心托儿和家庭托儿服务提供者进行了定性访谈。参与者被问及他们遇到的具有挑战性的儿童行为, 他们对这些行为的看法, 他们如何管理这些行为, 以及他们围绕停学和开除的思维过程。总体而言, 最常报告的挑战性行为类别是身体攻击, 以及不服从、反抗或争吵。最常报告的导致挑战性行为的原因是典型的儿童发育和养育问题。报告的应对挑战性行为的主要策略是与儿童沟通, 而使用其他循证策略的提供者相对较少。最后, 最常报告的考虑停学或开除的原因是, 提供者觉得他们已经穷尽了选择而无法满足儿童的需求, 以及儿童的行为被认为对自己或他人有危险。还讨论了对未来研究和实践的影响 (包括增加对托儿服务提供者的支持服务) 。. آراء مقدمي رعاية الأطفال حول السلوكيات الصعبة للأطفال وحالات التعليق والطرد: تحليل وصفي أكدت الأبحاث السابقة على الحاجة إلى فهم الخبرات وعمليات صنع القرار التي تساهم في التعليق والطرد في أماكن الرعاية والتعليم المبكرة ، لا سيما بين الأطفال الصغار الملونين. أجرت الدراسة الحالية مقابلات نوعية مع 20 من مقدمي الرعاية من مراكز الرعاية وعلى مستوى العائلات باستخدام بيانات من دراسة مينيسوتا للرعاية المبكرة والتعليم (MECE). وسُئل المشاركون عن السلوكيات الصعبة التي واجهوها مع الأطفال ، وتصوراتهم عن هذه السلوكيات وكيفية إدارتها ، وعمليات تفكيرهم حول التعليق والطرد. بشكل عام ، كانت أنواع السلوكيات الصعبة الأكثر شيوعاً هي العدوان الجسدي وعدم الامتثال / التحدي / الجدال. وكانت الأسباب المتصورة الأكثر شيوعًا للسلوكيات الصعبة هي مشكلات نمو الطفل والتربية الوالدية. كانت الإستراتيجية الأولية التي تم الإبلاغ عنها لمعالجة السلوكيات الصعبة هي التواصل مع الطفل ، مع عدد قليل نسبيًا من مقدمي الخدمة الذين أبلغوا عن استخدام استراتيجيات أخرى قائمة على الأدلة. أخيرًا ، كانت الأسباب الأكثر شيوعًا للنظر في التعليق أو الطرد هي شعور مقدمي الخدمة بأنهم استنفدوا خياراتهم ولا يمكنهم تلبية احتياجات الطفل ، وأن سلوك الطفل يُنظر إليه على أنه خطر على نفسه أو على الآخرين. تم مناقشة التطبيقات العملية على البحث والممارسة في المستقبل (بما في ذلك زيادة خدمات الدعم لمقدمي رعاية الأطفال). "
2,36678693,"The scarcity of age-appropriate pharmaceutical formulations is one of the major challenges impeding successful management of tuberculosis (TB) prevalence in minors. To this end, we designed and assessed the quality of a multiparticulate reconstitutable suspension powder containing fixed dose rifampicin and pyrazinamide (150 mg/300 mg per 5 mL) which was prepared employing solid−liquid direct dispersion coupled with timed dehydration, and mechanical pulverization. The optimized formulation had a high production yield (96.000 ± 3.270%), displayed noteworthy powder flow quality (9.670 ± 1.150°), upon reconstitution the suspension flow property was non-Newtonian and was easily redispersible with gentle manual agitation (1.720 ± 0.011 strokes/second). Effective drug loading was attained for both pyrazinamide (97.230 ± 2.570%w/w) and rifampicin (97.610 ± 0.020%w/w) and drug release followed a zero-order kinetic model (R2 = 0.990) for both drugs. Microscopic examinations confirmed drug encapsulation efficiency and showed that the particulates were micro-dimensional in nature (n < 700.000 µm). The formulation was physicochemically stable with no chemically irreversible drug-excipient interactions based on the results of characterization experiments performed. Findings from organoleptic evaluations generated an overall rating of 4.000 ± 0.000 for its attractive appearance and colour 5.000 ± 0.000 confirming its excellent taste and extremely pleasant smell. Preliminary cytotoxicity studies showed a cell viability above 70.000% which indicates that the FDC formulation was biocompatible. The optimized formulation was environmentally stable either as a dry powder or reconstituted suspension. Accordingly, a stable and palatable FDC antimycobacterial reconstitutable oral suspension powder, intended for flexible dosing in children and adolescents, was optimally fabricated. "
3,31611144,"Taste is a crucial factor that determines the palatability of the oral dosage form and patient compliance. The aim of this work was to evaluate the organoleptic excipients in oral antibiotics for pediatric use marketed in Brazil. The information was obtained from the GuidetoPharmacy, a reference for the pharmaceutical trade. The analysis included dosage forms for oral administration and drugs and their combination with antibacterial action. After this survey, we identified the constitution of the flavoring, sweetening, and coloring agents of each medicine. The results are presented in a descriptive form. Twelve drugs or associations are distributed in 70medicines. Oral suspension was the most common pharmaceutical dosage form. Sweeteners were sucrose, sodium saccharin, and sodium cyclamate. All the coloring agents observed are synthetic and the most frequent ones were yellow twilight no. 6, yellow tartrazine no. 5, and red ponceau 4R. The presence of two or more types of flavorings per medicine was observed. Antibacterials use coloring agents, flavorings, and sweeteners to facilitate the administration of medicines for children, using up to six different substances per formulation. No natural coloring agent was observed, demonstrating an issue to be explored in the future. It is important to note that, although necessary, these excipients are responsible for a high incidence of allergic reactions in children. "
4,35397909,"Featured with high multiplexibility, suspension microarray technology usually involves the conjugation of second-antibody with organic dye based fluorescent proteins, which are inherently unsuitable for multicolor signaling under single wavelength excitation. In addition, application of single QDs-based fluorescent reporter in suspension microarray is dramatically hampered since its preparation often suffers from poor reproducibility and stability. Herein, a novel suspension microarray system based on dual color quantum dots (QDs) nanobead as fluorescence label was developed for simultaneous detection of prostate specific antigen (PSA) biomarkers. When both antigens are present in sera sample, free (f)-PSA antibody-conjugated green and complexed (c)-PSA antibody-conjugated red QDs nanobeads would be both specifically absorbed onto the surface of total PSA antibody-conjugated magnetic beads, leading to the formation of magnetic fluorescent hybrid that can be purified from the mixture by an external magnet prior to flow cytometry analysis. The proposed method demonstrates simultaneous detection ability for f- and c- PSA antigen assay with high detection sensitivity that is comparable to clinical approaches including ELISA and chemiluminescence assay. Furthermore, result of clinical application of the proposed method is consistency with clinical data, demonstrating its potential in suspension microarray for accurate prostate cancer diagnosis. "
5,14752570,"Intussusception represents the most common abdominal emergency in infancy. The classical clinical triad, consisting of abdominal colics, red jelly stools and a palpable mass, is only present in approximately 50% of cases, 20% of patients are symptom free at clinical presentation. Primary imaging modality of choice is ultrasound scanning, which enables the diagnosis or exclusion of an intussusception at a sensitivity of 98-100%, specificity of 88% and a negative predictive value of 100%. In emergency cases, additional plain films are necessary to detect potential intestinal perforation, to identify intestinal obstruction or other diseases mimicking the clinical presentation. Once the diagnosis of an intussusception is established, non-surgical reduction (NSR) is used. A surgical approach is chosen in patients with signs of perforation, shock or peritonitis. Depending on the choice of guiding imaging technique, different contrast media are used for NSR. Barium suspension or air with fluoroscopic guidance, or saline only or mixed with water-soluble contrast under sonographic guidance, has to be used. Regardless of the used contrast medium, NSR is an effective technique, being successfully employed in more than 90% of cases. "
6,29387874,"Epidermal cell suspension (ECS) and follicular cell suspension (FCS) are successful surgical modalities for the treatment of stable vitiligo. However, repigmentation in generalized and acrofacial vitiligo and over acral or bony sites (eg, elbows, knees, iliac crests, and malleoli), which are difficult to treat, is challenging. To study the efficacy of transplanting a combination of autologous, noncultured ECS and FCS (ECS + FCS) compared with ECS alone in stable vitiligo. A prospective, observer-blinded, active-controlled, randomized clinical trial was conducted at a tertiary care hospital, with treatment administered as an outpatient procedure. Thirty participants who had stable vitiligo with symmetrical lesions were recruited between October 18, 2013, and October 28, 2016. All of the lesions were resistant to medical modalities with minimum lesional stability of 1 year. Intent-to-treat analysis was used. ECS + FCS was prepared by mixing equal amounts (in cell number) of FCS with ECS. After manual dermabrasion, ECS was applied to 1 lesion and ECS + FCS was applied to the anatomically based paired lesion of the same patient. No adjuvant treatment was given. Patients were followed up at 4, 8, and 16 weeks by a blinded observer and extent of repigmentation, color match, pattern of repigmentation, patient satisfaction and complications were noted. Both the visual and the computerized image analysis methods were used for outcome assessment. Cell suspensions were assessed post hoc for OCT4+ stem cell counts using flow cytometry; expression of stem cell factor and basic fibroblast growth factor was evaluated using quantitative relative messenger RNA expression. Of the 30 patients included in the study, 18 (60%) were women; mean (SD) age was 23.4 (6.4) years. Seventy-four percent of the lesions (62 of 84) were difficult-to-treat vitiligo. ECS + FCS showed superior repigmentation outcomes compared with ECS: extent (76% vs 57%, P < .001), rapidity (48% vs 31%, P = .001), color match (73% vs 61%, P < .001), and patient satisfaction (mean [SD] patient global assessment score, 23.30 [6.89] vs 20.81 [6.61], P = .047). Melanocyte stem cell counts (2% in ECS + FCS vs 0.5% in ECS) as well as expression of basic fibroblast growth factor (11.8-fold) and stem cell factor (6.0-fold) were higher in ECS + FCS suspension (P<.05 for both). The findings from this study establish ECS + FCS as a novel approach in vitiligo surgery for attaining good to excellent repigmentation in a short period with good color match, even in difficult-to-treat vitiligo. ctri.nic.in Identifier: CTRI/2017/05/008692. "
7,33435555,"Extemporaneous oral liquid preparations are commonly used when there is no commercially available dosage form for adjustable dosing. In most cases, there is a lack of stability data to allow for an accurately assigned shelf life and storage conditions to give greater confidence of product safety and efficacy over its shelf life. The aim of this study was to evaluate the physical, chemical and microbiological stability of an extemporaneous oral liquid suspension of losartan potassium, 5 mg/mL, used to treat paediatric hypertension in Our Lady's Children's Hospital Crumlin, Ireland. The losartan content of extemporaneous oral suspensions, prepared with and without addition of water, was measured by UV and confirmed by HPLC analysis. Suspensions were stored at 4 °C and room temperature (RT) and were monitored for changes in; pH, colour, odour, re-dispersibility, Total Aerobic Microbial Count, Total Yeast and Mould Count and absence of  "
8,21507039,"Surgery is a well-established treatment for stable vitiligo in adults. However, there are few studies to date reporting the use of surgery in children and adolescents. To assess the efficacy and safety of transplantation of autologous noncultured epidermal suspension for the treatment of stable vitiligo in children and adolescents. Noncultured epidermal suspension transplantation was performed in 13 children and adolescents (age 8-17 years), with a total of 19 lesions of stable vitiligo. Patients were followed up for at least 1 year. Results were assessed for degree of repigmentation, colour match compared with normal skin, and adverse events. Of the 19 lesions, 15 (79%) had > 90% repigmentation at the end of 1 year, and the remaining 4 lesions (21%) had 75-90% repigmentation. Results were not influenced by age, gender, site or size of lesions, type of vitiligo, or duration of stability of disease, although the small sample size makes conclusions tentative. The colour match at the final visit was excellent for 16 of the 19 lesions (84.2%). No major adverse effects were seen except for infection at the recipient site in one patient. Transplantation of noncultured epidermal suspension is a safe and effective treatment for stable vitiligo in childhood. Considering its good efficacy and safety as a day-care procedure under local anaesthesia, it may be considered one of the treatments of choice for stable vitiligo in children and adolescents, especially for cases resistant to other therapies. "
9,31496971,"Research from education, psychology, and human development indicates that social and emotional skills are essential to success in school, work, and life, and that high-quality social and emotional learning (SEL) programs can benefit students' mental health, academic achievement, and behavioral outcomes. While many schools are adopting an SEL approach, there remains a concerning gap between SEL research and policies and practices related to discipline and behavior management. Following the No Child Left Behind Act and education reform driven by a culture of high-stakes standardized testing and accountability benchmarks, there has been an increase in elementary schools adopting a ""no excuses"" model of education. This model is characterized by extended time in school, highly structured in-service teacher training, frequent assessments, and ""zero tolerance"" policies to strictly manage and control children's behavior. These behavior policies are problematic as they run counter to what research tells us about children's social and emotional development. Reactive and exclusionary discipline policies inhibit children's abilities to build and practice self-regulation skills and jeopardize the relationships between students and teachers. The developmental science perspective on children's regulatory skills suggests that the early years of school are a central context for developing and practicing self-regulation with the support of educators and peers. Research also indicates that warm, caring, reciprocal relationships based on trust are critical to learning and development. Yet, this research base is often overshadowed by pressures to improve standardized achievement scores or misinterpreted in the form of hyper-vigilance about children's behavior in the classroom. Finally, the ""no excuses"" approach to behavior management is used disproportionally in schools serving low-income students of color and thus may contribute to unequal rates of suspensions and expulsions, both of which are linked to negative developmental outcomes later in life. This is particularly true for students who have experienced trauma, in part because the act of social exclusion is often re-traumatizing. This article summarizes research on self-regulation, trauma, and developmental relationships, highlights potential consequences of ""no excuses"" policies and practices in schools, and presents an alternative view of learning environments which promote effective self-regulation skills in young children. "
