,PMID,abstract
0,33248659,"Volatile organic compounds (VOCs) in blood samples can be used as useful biomarkers to diagnose various human diseases. This study describes the potential of a paper-based sensor array for detecting leukemia using blood VOCs. Blood samples were collected from 59 new leukemia cases and 47 healthy cases as a control group. Each blood sample was divided into two parts; one for a laboratory test and the other was used in our study. Samples were mixed with heparin and then transferred to a sterile container, and a sensor was stacked on its cap. This sensor array contains 16 nanoparticles deposited on a sheet of hydrophobic paper in a 4 × 4 array format. Containers were stored in an oven at 60 °C for 4.5 h. Then, the image of sensors was recorded by a scanner and compared to the image before exposing the blood vapor. The sensor responses were subjected to different multivariate statistical methods to develop models that discriminate between control and leukemia samples. The interaction of nanoparticles with the volatile metabolome of blood caused aggregation and consequently changing in the color of nanoparticles. The color changes resulted in a specific pattern for blood samples with leukemia, which is different from those obtained from healthy specimens. The discrimination analysis was approved by pattern recognition methods such as principal component analysis with 97% accuracy. Among 59 patients, the mean age was 6.02 ± 4.55 years (range 1-16 y). The mean total response was 652.83 ± 117.02. The rock curve showed an accuracy of 96% for classifying patients from the control group. The logistic regression model showed that 93.6% of healthy and 93.2% of patients were classified correctly by using this method. These statistics agree with the classification results obtained by principal component analysis. For every 5000-unit increase in platelet count, the chance of leukemia decreased by 9%. Additionally, the chance of being categorized as a patient decreased by 10% for every 20-unit increase in total response. The electronic nose using VOC's of blood is a non-invasive and inexpensive tool for detecting new cases of leukemia with high sensitivity and specificity. Platelet count is an essential para-clinical parameter determining the total response of the sensors. Follow up studies with a larger sample size are warranted to elucidate its clinical applicability. "
1,31335589,"Large numbers of perinatally HIV-infected (PHIV) children are aging into adolescence. We examined cognitive and behavioral outcomes in a longitudinal cohort of Asian youth. We followed up 231 PHIV, 125 perinatally HIV-exposed, uninfected (HEU), and 138 HIV-unexposed, uninfected (HUU) adolescents (aged 10 years and older), matched by age/sex, in Thailand and Cambodia for 3 years. Executive function was assessed with Children's Color Trails Tests 1 and 2 (CCTT-1 and -2), the design fluency test, and the verbal fluency test. Working memory (Freedom from Distractibility Index) and processing speed index were assessed using WISC-III. Visual memory was assessed by design memory and design recognition subtests of the Wide Range Assessment of Memory and Learning (WRAML-2) and behavioral problems using the Child Behavior Checklist (CBCL). Generalized estimating equations examined adjusted odds ratios of cognitive impairment (Z-scores ≥2 SD below age-adjusted means of the HUU group) and CBCL T-scores in the borderline-clinical range (T-Scores ≥60) in PHIV and HEU versus HUU youth, adjusting for ethnicity, household income, and caregiver characteristics. The median age at enrollment was 13.8 years, with 58% women and 63% Thai participants. PHIV youth had >86% virological suppression and significantly higher impairment rates on CCTT-1 and -2 tests, design fluency test, verbal fluency tests, design memory, and CBCL internalizing and externalizing problems. Results were mostly similar between HEU and HUU groups, apart from higher impairment rates on CCTT-1 and internalizing problems in HEU. Asian adolescents with PHIV remain at risk of cognitive and mental health problems despite HIV treatment. Selective risks are observed among HEU youth. "
2,28254547,"Peripheral aneurysm and pseudoaneurysm of an artery is a well-recognized but rare phenomenon in children. We report a case of an axillary artery aneurysm in a 2-year-old boy with methicillin-resistant Staphylococcus aureus septic shock, acute respiratory distress syndrome, and multiorgan dysfunction syndrome. Definitive surgical treatment with left axillary artery aneurysm exclusion and bypass with greater saphenous vein graft were performed. To our knowledge, this is the only axillary artery aneurysm ever reported in a child. "
3,11029091,"Liver tumors are a relatively rare pathologic condition in children and young patients. The aim of the present study was to categorize the sonographic (US) and color Doppler results of liver tumors in these patients. We retrospectively reviewed the US findings of 23 such cases: malignant tumor (13 cases)-hepatoblastoma (four cases), hepatocellular carcinoma (HCC; four cases), and hepatic metastasis (five cases); benign tumor (10 cases)-hepatocellular adenoma (four cases), focal nodular hyperplasia (two cases), mesenchymal hamartoma (two cases), cystadenoma (one case), and hemangioendothelioma (one case). There was no specific US findings for each tumor type. HCC usually developed on a normal liver and was imaged as multiple nodules. Color Doppler US helped in differentiating multiple metastatic nodules (hypovascular) from multiple HCC nodules (hypervascular). Presence of intratumoral cystic areas was usually suggestive of benign tumors. Follow-up US was useful for detecting small nodules in high-risk groups (congenital biliary atresia, glycogen storage disease). Color Doppler US helped in diagnosing portal thrombus or intratumoral shunt. Although there were no highly specific findings, US and color Doppler results contributed, to a certain degree, to the diagnosis of liver tumors in children and young adults by showing intratumoral cystic areas or vascularity. "
4,39116483,"The Chinese Haemophilia Individualized Prophylaxis Study (CHIPS), which was launched in 2016, reported a significant reduction in haemarthrosis over a one-year study. However, its long-term efficacy requires verification. This paper summarizes the clinical outcomes of 18 severe haemophilia A (SHA) patients who completed one year on the CHIPS and 3 more years of follow-up. Clinical follow-up was based on the CHIPS protocol (from July 2018 to July 2021). Escalation was based on index joint bleeding, and serial ultrasound (greyscale and colour Doppler) examinations of the index joints (both sides of the ankles, knees and elbows) were conducted every 6 months via a scoring system. A total of 18 SHA patients completed the 3-year study. Fifteen patients dropped out due to the financial crisis during the COVID-19 pandemic in China. The median age was 5.4 (range 4.3-6.9) years. A significant reduction in haemarthrosis was achieved, with mean annual bleeding rates reduced from 18.9 ± 2.8 to 1.7 ± 0.4 (p < 0.001), annual joint bleeding rates from 3.1 ± 0.7 to1.2 ± 0.3 (p < 0.028). 5 out of 8 target joint resolved. Sixteen doses were escalated. At study exit, the heterogeneous treatment outcomes of the SHA boys were 5 at step 4 (20-25 lU/kg, every other day), 10 at step 3 (15-20 IU/kg, 3×/week), 2 at step 2 (10-15 lU/kg, 3×/week) and 1 at step 1 (10-15 lU/kg, 2×/week). The mean FVIII consumption was 2964 IU/kg/year, with savings. The quality of life improved, with Canadian Haemophilia Outcomes-Kids Life Assessment Tool (CHO-KLAT, Chinese Version 2.0) scores ranging from 68.8 to 78.8. There was no change in the ultrasound score. Our follow-up data on the 18 SHA boys after completing one year on the CHIPS verify the long-term efficacy of the CHIPS for haemarthrosis reduction, joint health preservation, improvement in the quality of life of the boys and cost savings. "
5,34814111,"Tuberculosis (TB) remains a global problem and a diagnostic challenge, especially in pediatrics. The aim of this study was to describe the clinical, microbiological, radiological, and histopathological data of TB in children. A 7-year retrospective and descriptive cohort study that included 127 patients under 18 years of age with diagnosis of active TB was conducted from 2011 to 2018 in a pediatric hospital. Tuberculosis was microbiologically confirmed using Ziehl-Neelsen (ZN) staining, culture or polymerase chain reaction (PCR) in a total of 94 (74%) cases. Thirty-three cases were defined as probable TB based on tuberculin skin test result and epidemiological evaluation. The TB forms found were lymph node (39.3%), bone (15.7%), lung (13.6%), and meningeal TB (8.6%). The most common symptoms were fever (48.8%) and adenopathy (45.6%). History of contact was established in 34.6%. Positive ZN staining (sensitivity 30%) and culture (sensitivity 37%) were found in 29% and 37.7% of subjects, respectively. About 64.5% depicted abnormal chest X-ray. Xpert MTB/RIF® (PCR) was positive in 9.4% and biopsy was compatible in 52.7% of these samples. It is fundamental to have laboratory and epidemiological evaluation that support the diagnosis of the disease in children and thus, define its management; since, in most cases, early microbiologic confirmation is lacking. "
6,21409475,"The Mulliken and Glowacki classification (1982) differentiated vascular anomalies into two groups based on their endothelial characteristics: hemangiomas and vascular malformations. Vascular anomalies are localized defects of the vasculature that affect a limited number of vessels in a restricted area of the body. These defects are secondary to errors in vascular morphogenesis. Depending on the type of vessel involved, the vascular malformation group was subdivided into high-flow (such as arteriovenous malformation and arteriovenous fistula) and low-flow lesions (such as venous and lymphatic malformations). Depending on the type of lesion, the location and degree of involvement and the clinical effect, different types of treatment would be required. For the purpose of this review, we concentrate solely on vascular malformations: the clinical features, genetics, diagnosis, and current treatment options. "
7,34431006,"Gray-scale and color/power Doppler ultrasound (US) are the first-line imaging modalities to evaluate the spleen, gallbladder and pancreas in children. The increasing use of contrast-enhanced ultrasound (CEUS) as a reliable and safe method to evaluate liver lesions in the pediatric population promises potential for imaging other internal organs. Although CEUS applications of the spleen, gallbladder and pancreas have been well described in adults, they have not been fully explored in children. In this manuscript, we present an overview of the applications of CEUS for normal variants and diseases affecting the spleen, gallbladder and pancreas. We highlight a variety of cases as examples of how CEUS can serve in the diagnosis and follow-up for such diseases in children. Our discussion includes specific examination techniques; presentation of the main imaging findings in various benign and malignant lesions of the spleen, gallbladder and pancreas in children; and acknowledgment of the limitations of CEUS for these organs. "
8,32404362,"Sarah Jane Whiteling was accused of fatally poisoning her husband and two children in Philadelphia in 1888. The case prompted public outrage over the appearance that Ms. Whiteling's motive was to collect life insurance. It was evident, however, that she was disturbed, raising a question of culpability. Dr. Alice Bennett, the first female physician in charge of an asylum, provided the defense with expert testimony on the defendant's mental state. Dr. Bennett, who had little forensic but much clinical experience, proposed a physiological theory of insanity among women with reproduction-related derangements. At that time, cultural ideas about ""female poisoners"" colored popular and journalistic perceptions of Ms. Whiteling. Familicide was considered unconscionable because a mother's duty was to nurture and protect her family. When Ms. Whiteling was convicted and sentenced to death, Dr. Bennett undertook a campaign for commutation. Her unsuccessful efforts to reduce culpability were followed by Ms. Whiteling's hanging in 1889, the first execution of a woman in Philadelphia since colonial times. This article recounts the Whiteling case, Dr. Bennett's involvement in it, and how it relates to what is known about familicide. It is argued here that Dr. Bennett was a pioneer in applying medical expert testimony to effect individualized mitigation. "
9,32051369,"Cochineal dyes are used as additives in various foods for the purpose of red coloration. On the other hand, although it has been reported as a causative agent of immediate allergy, most of them are adult women. We report a case of an 8-year-old boy who developed a cochineal allergy.Current disease history: He has been suffering from atopic dermatitis, bronchial asthma, and food allergies since childhood. At the age of seven, he experienced an unknown anaphylaxis reaction twice. When he was 8 years old, he ate a frankfurter containing hypoallergenic cochineal for the first time; cold sweat, intraoral discomfort, respiratory distress, and urticaria appeared throughout the body. His skin prick tests were positive, with a result of 2+to frankfurter and cochineal dyes (color value 0.1 and 0.01). In the immunoblot assay, binding of IgE antibody was observed with CC38K (the main component of cochineal) and a protein of approximately 80-200 kDa in the high molecular weight region. We report a case of anaphylaxis with hypoallergenic cochineal onset in a school-age boy. "
