PMID	TITLE	ABSTRACT
39412306	Physicochemical and microbiological stability of 40 mg/mL amiodarone hydrochloride oral suspension.	In an effort to expedite the publication of articles, AJHP is posting manuscripts online as soon as possible after acceptance. Accepted manuscripts have been peer-reviewed and copyedited, but are posted online before technical formatting and author proofing. These manuscripts are not the final version of record and will be replaced with the final article (formatted per AJHP style and proofed by the authors) at a later time. Amiodarone hydrochloride is an antiarrhythmic drug used to treat supraventricular tachycardia. However, there are currently no commercial pediatric forms available to treat young patients. Various oral formulations were previously reported in the literature, but the concentration was lower than the doses prescribed in clinical practice (a loading dose of 500 mg/m2/day for 7-10 days followed by a maintenance dose of 250 mg/m2/day). The objective of this study was to develop an oral liquid formulation of amiodarone hydrochloride at an optimal concentration for use in children and to evaluate its physicochemical and microbiological stability. No commercial suspension vehicle was used, allowing the choice of excipients. Compounding was performed using hydroxypropylmethylcellulose as thickener, potassium sorbate preservative, citric acid/sodium citrate buffer, sodium saccharin as a , and a strawberry flavoring agent. A concentration of 40 mg/mL was selected based on a 5-year compilation of prescribed doses. Analyses performed were the following: visual and microscopic inspection, testing for antimicrobial preservation, osmolality and pH measurements, quantification of amiodarone hydrochloride by a stability-indicating liquid chromatography method, and a microbiological count. At least 95% of the initial amiodarone hydrochloride remained stable during the 60-day study period under refrigeration. All other tested parameters remained stable at 5 °C. A targeted log reduction of the microorganism inoculum by day 14 and no microbial growth by day 28 were demonstrated in the test for antimicrobial preservation. The stability of 40 mg/mL amiodarone hydrochloride oral suspension was maintained under refrigeration for 60 days before opening bottles and for 1 month after opening bottles. 
38664350	The effect of fluoride varnish application on colour change due to paediatric drug usage in polyacid-modified composite resin: an in vitro study.	Colour stability is important in the long-term aesthetic success of restorative materials and is affected by both internal and external factors. Internal discolourations are due to the properties of the restorative materials. External discolourations can be associated with frequent consumption of food and beverages and the use of suspensions or syrups containing colourants/additives. Fluoride varnish application has an important place in preventive dentistry. The purpose of the research was to examine the protective effect of fluoride varnish application on the colour change on polyacid-modified composite resin restorative materials caused by the use of various paediatric drugs. Two hundred ten discs were prepared from polyacid-modified composite resin material and divided into two groups: flouride varnish was applied to one group and flouride varnish was not applied to the other group. The groups were further divided into seven subgroups and the samples were kept in artificial saliva, amoxicillin + clavulanic acid, cefuroxime axetil, clarithromycin, paracetamol, ibuprofen, and iron supplement drug solutions. The colour change values of the discs were measured using a spectrophotometer device before immersion in the drug solutions and on the 7th, 14th, 21st, and 28th days after the immersion. The obtained data were calculated and statistically evaluated using IBM SPSS V23 software. It was found that the application of fluoride varnish in the iron supplement drug group prevented the colour change of the polyacid-modified composite resins for 28 days. In the amoxicillin + clavulanic acid, cefuroxime axetil, and paracetamol groups, the fluoride varnish did not prevent colour change in the polyacid-modified composite resin restorative materials at the end of the 14th day. It is thought that fluoride varnish application may be beneficial as a preservative in the colour change of polyacid-modified composite resins due to the use of various paediatric drugs, and this protective feature may be effective for a specific period of time. 
39477275	Protocol for a community-based, household-randomised, dose-response trial to assess the acceptability, nutritional effects and safety of double-fortified salt containing iodine and folic acid compared with iodised salt among non-pregnant Ethiopian women of reproductive age (DFS-IoFA).	The prevalence of neural tube defects (NTDs) is higher in Ethiopia than most other countries, and ~84% of Ethiopian women of reproductive age (WRA) have folate insufficiency, a major risk factor for NTDs. Salt fortification with folic acid is a potential strategy to improve women's folate status, but data are needed on the acceptability, nutritional impact and safety of folic acid fortification of iodised salt. The study is designed as a community-based, household-randomised, dose-response trial. A total of 360 non-pregnant WRA 18-49 years of age will be randomly assigned to one of three intervention arms: (1) iodised salt fortified with 30 ppm folic acid to provide ~200 µg folic acid/day; (2) iodised salt fortified with 90 ppm folic acid to provide ~600 µg folic acid/day; or (3) iodised salt (comparator). The preweighed salts will be delivered to participants' homes biweekly for 26 weeks; unused salt will be collected and weighed. Fasting, venous blood samples will be collected at baseline, end line and a randomly assigned intermediate time point for assessment of folate, iodine, vitamin B The study has been approved by the Ethiopian Public Health Institute's Institutional Review Board, and the protocol has been registered with ClinicalTrials.gov (registration number NCT06223854). Study results will be published in open access scientific journals and disseminated nationally in Ethiopia. NCT06223854. 
39480129	Baseline factors associated with myopia progression and axial elongation over 30 months in children 5 to 12 years of age.	This study aimed to identify baseline factors associated with greater myopia progression and axial elongation in children with myopia. This study performed a post hoc analysis of data from a 30-month randomized trial of atropine 0.01% versus placebo in children 5 to <13 years old with baseline spherical equivalent refractive error (SER) of -1.00 to -6.00 D, astigmatism of ≤1.50 D, and anisometropia of <1.00 D SER. Data from atropine 0.01% and placebo groups were pooled given outcomes were similar. Baseline factors of age, SER, axial length, race, sex, parental myopia, and iris color were evaluated for association with changes in SER and with changes in axial length at 30 months (24 months on treatment and then 6 months off) using backward model selection. Among 187 randomized participants, 175 (94%) completed 30 months of follow-up. The mean change in SER was greater among younger children (-0.19 D per 1 year younger; 95% confidence interval [CI], -0.25 to -0.14 D; p<0.001) and children with higher myopia (-0.14 D per 1 D more myopia at baseline; 95% CI, -0.23 to -0.05 D; p=0.002). The mean change in axial length was also greater among younger children (0.13 mm per 1 year younger; 95% CI, 0.10 to 0.15 mm; p<0.001) and children with higher baseline myopia (0.04 mm per 1 D more myopia; 95% CI, 0.002 to 0.08; p=0.04). Younger children with higher myopia had greater myopic progression and axial elongation over 30 months than older children with lower myopia. Developing effective treatments to slow the faster myopic progression in younger children should be a target of further research. 
39480285	Telehealth-delivered depression prevention: Short-term outcomes from a school-based randomized controlled trial.	To examine short-term (i.e., postintervention) outcomes from a randomized controlled trial comparing a school-based telehealth-delivered depression prevention program, Interpersonal Psychotherapy-Adolescent Skills Training (IPT-AST), to services as usual (SAU). We expected IPT-AST would be acceptable and feasible and that IPT-AST adolescents would experience greater reductions in depression symptoms, anxiety symptoms, and impairment compared with SAU. Adolescents ( Hierarchical linear models showed that adolescents reported significant reductions in depression symptoms and impairment across conditions. IPT-AST adolescents reported significantly greater reductions in anxiety symptoms than SAU adolescents,  Results support telehealth-delivered IPT-AST as a promising intervention for improving short-term outcomes among adolescents with depression symptoms but without a depression diagnosis. (PsycInfo Database Record (c) 2024 APA, all rights reserved). 
39412306	Physicochemical and microbiological stability of 40 mg/mL amiodarone hydrochloride oral suspension.	In an effort to expedite the publication of articles, AJHP is posting manuscripts online as soon as possible after acceptance. Accepted manuscripts have been peer-reviewed and copyedited, but are posted online before technical formatting and author proofing. These manuscripts are not the final version of record and will be replaced with the final article (formatted per AJHP style and proofed by the authors) at a later time. Amiodarone hydrochloride is an antiarrhythmic drug used to treat supraventricular tachycardia. However, there are currently no commercial pediatric forms available to treat young patients. Various oral formulations were previously reported in the literature, but the concentration was lower than the doses prescribed in clinical practice (a loading dose of 500 mg/m2/day for 7-10 days followed by a maintenance dose of 250 mg/m2/day). The objective of this study was to develop an oral liquid formulation of amiodarone hydrochloride at an optimal concentration for use in children and to evaluate its physicochemical and microbiological stability. No commercial suspension vehicle was used, allowing the choice of excipients. Compounding was performed using hydroxypropylmethylcellulose as thickener, potassium sorbate preservative, citric acid/sodium citrate buffer, sodium saccharin as a , and a strawberry flavoring agent. A concentration of 40 mg/mL was selected based on a 5-year compilation of prescribed doses. Analyses performed were the following: visual and microscopic inspection, testing for antimicrobial preservation, osmolality and pH measurements, quantification of amiodarone hydrochloride by a stability-indicating liquid chromatography method, and a microbiological count. At least 95% of the initial amiodarone hydrochloride remained stable during the 60-day study period under refrigeration. All other tested parameters remained stable at 5 °C. A targeted log reduction of the microorganism inoculum by day 14 and no microbial growth by day 28 were demonstrated in the test for antimicrobial preservation. The stability of 40 mg/mL amiodarone hydrochloride oral suspension was maintained under refrigeration for 60 days before opening bottles and for 1 month after opening bottles. 
39418882	Breakdown of the blood-brain barrier in depressed mice induced by chronic unpredictable mild stress.	Recent studies have suggested potential impairment of the blood-brain barrier (BBB) in depression. However, due to the limited research and variability in animal models, further investigation using diverse and stable models is necessary. A male mouse model of depression was established using the chronic unpredictable mild stress (CUMS) protocol. Following model establishment, depression-like behaviors were assessed using the sucrose preference test, tail suspension test, and forced swimming test. Morphological changes in the hippocampus were examined through hematoxylin-eosin staining. BBB permeability was evaluated using the Evans blue leakage test, fluorescein sodium (NaF) leakage test, and serum S100B content assessment. Gene and protein expression levels of BBB-related proteins in the hippocampus were determined via real-time PCR, western blotting, and immunofluorescence assays. CUMS exposure induced depression-like behaviors, including reduced body weight gain, diminished sucrose preference, and prolonged immobility in both the tail suspension test and forced swimming test. While no significant pathological changes were observed in the hippocampus of either group, increased BBB permeability was noted in the CUMS group, as evidenced by enhanced NaF leakage into the brain parenchyma and elevated serum S100B levels. Gene expression analysis revealed downregulation of angiogenesis-related genes and tight junction proteins in the CUMS group. Additionally, protein levels of tight junction proteins Claudin-5 and ZO-1 were lower in the CUMS group compared to controls. This study is limited to a male mouse model, and the BBB in females is worth exploring in the future. Increased BBB permeability and decreased expression of tight junction proteins Claudin5 and ZO-1 were observed in mice with CUMS-induced depression. 
39380924	Surface Roughness Examination of Glass Ionomer Restorative Cements Treated with Acidic and Basic Pediatric Medications: An 	Consumption of different types of beverages and liquid drugs can affect of the surface properties of restorative material. This may lead to an increased probability of dental caries and periodontal inflammation. This study evaluated and compared the effect of amoxicillin suspension (AMS) and azithromycin suspension (AZS) on the surface roughness (SR) of silver-reinforced glass ionomer (SGI) and nano resin-modified glass ionomer (NGI). Thirty disks (2 mm height × 4 mm diameter) of each glass ionomer (GI) type were prepared and subdivided into three groups ( This study demonstrated, for the first time, the effect of a basic drug (AZS) on the SR of GIs. Intra- and inter-group comparisons showed significant changes ( The SR of NGIs and SGIs can be significantly affected by the use of AMS and AZS suspensions. SGI demonstrated higher SR deterioration than NGI after immersion cycles in AMS. 
39462428	The role of the oral microbiota in the causal effect of adjunctive antibiotics on clinical outcomes in stage III-IV periodontitis patients.	Periodontitis, a prevalent chronic inflammatory disease, offers insights into the broader landscape of chronic inflammatory conditions. The progression and treatment outcomes of periodontitis are closely related to the oral microbiota's composition. Adjunctive systemic Amoxicillin 500 mg and Metronidazole 400 mg, often prescribed thrice daily for 7 days to enhance periodontal therapy's efficacy, have lasting effects on the oral microbiome. However, the precise mechanism through which the oral microbiome influences clinical outcomes in periodontitis patients remains debated. This investigation explores the pivotal role of the oral microbiome's composition in mediating the outcomes of adjunctive systemic antibiotic treatment. Subgingival plaque samples from 10 periodontally healthy and 163 periodontitis patients from a randomized clinical trial on periodontal therapy were analyzed. Patients received either adjunctive amoxicillin/metronidazole or a placebo after mechanical periodontal treatment. Microbial samples were collected at various intervals up to 26 months post-therapy. Using topic models, we identified microbial communities associated with normobiotic and dysbiotic states, validated with 86 external and 40 internal samples. Logistic regression models evaluated the association between these microbial communities and clinical periodontitis parameters. A Directed Acyclic Graph (DAG) determined the mediating role of oral microbiota in the causal path of antibiotic treatment effects on clinical outcomes. We identified clear distinctions between dysbiotic and normobiotic microbial communities, differentiating healthy from periodontitis subjects. Dysbiotic states consistently associated with below median %Pocket Probing Depth ≥ 5 mm (OR = 1.26, 95% CI [1.14-1.42]) and %Bleeding on Probing (OR = 1.09, 95% CI [1.00-1.18]). Factors like microbial response to treatment, smoking, and age were predictors of clinical attachment loss progression, whereas sex and antibiotic treatment were not. Further, we showed that the oral microbial treatment response plays a crucial role in the causal effect of antibiotic treatment on clinical treatment outcomes. The shift towards a normobiotic subgingival microbiome, primarily induced by adjunctive antibiotics, underscores the potential for microbiome-targeted interventions to enhance therapeutic efficacy in chronic inflammatory conditions. This study reaffirms the importance of understanding the oral microbiome's role in periodontal health and paves the way for future research exploring personalized treatment strategies based on individual microbiome profiles. Video Abstract. 
34387136	Amoxicillin chewable tablets intended for pediatric use: formulation development, stability evaluation and taste assessment.	To cover the unpleasant taste of amoxicillin (250 mg), maize starch (baby food) and milk chocolate were co-formulated. The raw materials and the final formulations were characterized by means of Dynamic Light Scattering (DLS), Differential Scanning Calorimetry (DSC) and Fourier-Transform Infrared (FT-IR) spectroscopy. To evaluate the taste masking two different groups of volunteers were used, according to the Ethical Research Committee of the Aristotle University of Thessaloniki. The optimization of excipients' content in the tablet was determined by experimental design methodology (crossed D-optimal). Due to the matrix complexity, amoxicillin was extracted using liquid extraction and analyzed isocratically by HPLC. The developed chromatographic method was validated (%Recovery 98.7-101.3, %RSD = 1.3, LOD and LOQ 0.15 and 0.45 μg mL 
