PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"35164210","The Effects of Adding a Gel-Alike Curcuma longa L. Suspension as Color Agent on Some Quality and Sensory Properties of Yogurt","Guerra AS, Hoyos CG, Velásquez-Cock J, Vélez L, Gañán P, Zuluaga R.","Molecules. 2022 Jan 30;27(3):946. doi: 10.3390/molecules27030946.","Guerra AS","Molecules","2022","2022/02/15","PMC8840000","","10.3390/molecules27030946"
"3728485","Formulation and stability of diazepam suspension compounded from tablets","Strom JG Jr, Kalu AU.","Am J Hosp Pharm. 1986 Jun;43(6):1489-91.","Strom JG Jr","Am J Hosp Pharm","1986","1986/06/01","","",""
"31315084","Extemporaneous Indomethacin Oral Suspension Prepared from Injectable Ampules for Therapy in Premature Infants and Pediatric Patients","Lafuente Y, García MC, Jiminez-Kairuz A.","Int J Pharm Compd. 2019 Jul-Aug;23(4):324-331.","Lafuente Y","Int J Pharm Compd","2019","2019/07/18","","",""
"33340229","A prospective, randomized clinical study to compare the efficacy of recipient site preparation using dermabrasion, cryoblister, and dermaroller in autologous noncultured epidermal cell suspension in stable vitiligo","Subburaj K, Thakur V, Kumaran MS, Vinay K, Srivastava N, Parsad D.","Dermatol Ther. 2021 Jan;34(1):e14683. doi: 10.1111/dth.14683. Epub 2020 Dec 27.","Subburaj K","Dermatol Ther","2021","2020/12/19","","","10.1111/dth.14683"
"35796857","In vivo therapeutic efficacy of Curcuma longa extract loaded ethosomes on wound healing","Kumar S, Kumar A, Kumar N, Singh P, Singh TU, Singh BR, Gupta PK, Thakur VK.","Vet Res Commun. 2022 Dec;46(4):1033-1049. doi: 10.1007/s11259-022-09952-1. Epub 2022 Jul 7.","Kumar S","Vet Res Commun","2022","2022/07/07","","","10.1007/s11259-022-09952-1"
"35425161","Rapid measurement of waterborne bacterial viability based on difunctional gold nanoprobe","Wen J, Liu J, Wu J, He D.","RSC Adv. 2022 Jan 11;12(3):1675-1681. doi: 10.1039/d1ra07287k. eCollection 2022 Jan 5.","Wen J","RSC Adv","2022","2022/04/15","PMC8978865","","10.1039/d1ra07287k"
"32566185","Optimization of the formula and processing of a sweet potato leaf powder-based beverage","Luo D, Mu TH, Sun H, Chen J.","Food Sci Nutr. 2020 May 7;8(6):2680-2691. doi: 10.1002/fsn3.1555. eCollection 2020 Jun.","Luo D","Food Sci Nutr","2020","2020/06/23","PMC7300073","","10.1002/fsn3.1555"
"21041163","Colesevelam hydrochloride powder for oral suspension versus cholestyramine powder for oral suspension: comparison of acceptability and tolerability","Bays HE, Maki KC, Schmitz K.","Endocr Pract. 2011 Mar-Apr;17(2):218-25. doi: 10.4158/EP10251.OR.","Bays HE","Endocr Pract","2011","2010/11/03","","","10.4158/EP10251.OR"
"23725430","Doxycycline concentration over time after storage in a compounded veterinary preparation","Papich MG, Davidson GS, Fortier LA.","J Am Vet Med Assoc. 2013 Jun 15;242(12):1674-8. doi: 10.2460/javma.242.12.1674.","Papich MG","J Am Vet Med Assoc","2013","2013/06/04","","","10.2460/javma.242.12.1674"
"20850141","Leaflet suspension to the contralateral annulus to address restriction or tethering-induced mitral and tricuspid regurgitation in children: results of a case-control study","Myers PO, Christenson JT, Cikirikcioglu M, Tissot C, Aggoun Y, Kalangos A.","J Thorac Cardiovasc Surg. 2010 Nov;140(5):1110-6. doi: 10.1016/j.jtcvs.2010.08.015. Epub 2010 Sep 17.","Myers PO","J Thorac Cardiovasc Surg","2010","2010/09/21","","","10.1016/j.jtcvs.2010.08.015"
"36642284","Antibacterial potential of riboflavin mediated blue diode laser photodynamic inactivation against Enterococcus faecalis: A laboratory investigation","Afrasiabi S, Chiniforush N.","Photodiagnosis Photodyn Ther. 2023 Mar;41:103291. doi: 10.1016/j.pdpdt.2023.103291. Epub 2023 Jan 12.","Afrasiabi S","Photodiagnosis Photodyn Ther","2023","2023/01/15","","","10.1016/j.pdpdt.2023.103291"
"36613270","A Cake Made with No Animal Origin Ingredients: Physical Properties and Nutritional and Sensory Quality","Ansorena D, Cartagena L, Astiasaran I.","Foods. 2022 Dec 22;12(1):54. doi: 10.3390/foods12010054.","Ansorena D","Foods","2022","2023/01/08","PMC9818566","","10.3390/foods12010054"
"32196476","The Effect of Manufacturer on the Compounding of Omeprazole Suspensions and Their Stability Assessment","Meissner S, Bansal M, Dela CPD, Hanning S, Svirskis D.","Int J Pharm Compd. 2020 Mar-Apr;24(2):140-147.","Meissner S","Int J Pharm Compd","2020","2020/03/21","","",""
"37332820","Improving the Optical Properties and Filler Content of White Top Testliners by Using a Size Press","Çiçekler M, Sözbir T, Tutuş A.","ACS Omega. 2023 May 31;8(23):21000-21007. doi: 10.1021/acsomega.3c01816. eCollection 2023 Jun 13.","Çiçekler M","ACS Omega","2023","2023/06/19","PMC10268623","","10.1021/acsomega.3c01816"
